AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
"Goss-Custard, JD; Cayford, JT; Lea, SG",Vigilance during food handling by Oystercatchers Haematopus ostralegus reduces the chances of losing prey to kleptoparasites,IBIS,141,368,376,10.1111/j.1474-919X.1999.tb04407.x,1999,"Oystercatchers Haematopus ostralegus periodically pause while handling mussels Mytilus edulis to make visual scans. This paper presents evidence that scanning is associated with the high incidence of intra-specific food stealing among mussel-eating Oystercatchers. Scanning increased in frequency as bird density - and the risk of being attacked for mussels - increased and the duration of attacks decreased. Additionally, among a sample of individually marked adults, the aggressive dominant birds spent half as much time scanning as the less aggressive subdominants and were also less likely to be attacked. Whereas detecting an attack made no difference to the success with which the dominants defended their mussels, subdominants increased their chances of retaining the mussel if they detected and carried the mussel away from the approaching attacker. The extra time which the less aggressive birds spent in vigilance seems best understood as a tactic for reducing food loss to kleptoparasites."
"Blanchard, Pierrick; Fritz, Herve",Induced or routine vigilance while foraging,OIKOS,116,1603,1608,10.1111/j.2007.0030-1299.15799.x,2007,
"Embar, Keren; Kotler, Burt P.; Mukherjee, Shomen","Risk management in optimal foragers: the effect of sightlines and predator type on patch use, time allocation, and vigilance in gerbils",OIKOS,120,1657,1666,10.1111/j.1600-0706.2011.19278.x,2011,"In the foraging game between gerbils and their predators, gerbils manage risk of predation using the tools of time allocation (where, when and for how long to forage) and vigilance. The optimal level of a forager's vigilance should be affected by its encounter rate with predators and the effectiveness of its vigilance in reducing mortality risk. The physical structure of the environment can alter the effectiveness of its vigilance and therefore alter its foraging behaviour. We tested this for gerbils at risk of predation from barn owls or foxes in a large vivarium. In particular, we reduced the effectiveness of vigilance by placing obstructions around feeding trays that blocked sight lines along either the vertical (vigilance directed against owls) or horizontal axis (vigilance directed against foxes), thereby changing the physical structure of the environment. In addition, we manipulated the presence of foxes and owls. In general, gerbils harvested fewer seeds, allocated less time to foraging in dangerous patches, and used more vigilance while foraging where and when risks were higher (i.e. in the presence of predators and in bright moonlight). Vertical and horizontal sightline treatments interacted synergistically to further raise perceived risk.These results imply that blocking sight lines reduces the effectiveness of vigilance, causing gerbils to use it less. Moreover, in the presence of a predator, the gerbils 'response to the blocked sightlines was more severe - harvesting less food and spending less time and vigilance - in the patches with the increased risk. This was especially so in the presence of the predator that was expected to most benefit from blocking that particular type of sight line: cover that blocked vertical sight lines was riskiest in the presence of owls, and cover that blocked horizontal sight lines was riskiest in the presence of foxes. These results strongly indicate the importance of sightlines and landscape features such as bushes in the risk management and forging decisions of gerbils, demonstrating that bush cover provides mixed blessing to gerbils by providing cover, but making vigilance ineffective."
"RASA, OAE",BEHAVIORAL PARAMETERS OF VIGILANCE IN THE DWARF MONGOOSE - SOCIAL ACQUISITION OF A SEX-BIASED ROLE,BEHAVIOUR,110,125,145,10.1163/156853989X00439,1989,
"Whiteside, Mark A.; Langley, Ellis J. G.; Madden, Joah R.",Males and females differentially adjust vigilance levels as group size increases: effect on optimal group size,ANIMAL BEHAVIOUR,118,11,18,10.1016/j.anbehav.2016.04.025,2016,"A strong motivation for one individual to aggregate with others is to reduce their vigilance because other group members provide coverage and warning of approaching predators. This collective vigilance means that a focal individual is usually less susceptible to predation than when alone. However, individuals differ in their vigilance levels depending on status and context. They may also differ in how they adjust their vigilance levels as group size changes. This flexibility in response means that the collective vigilance of a group, and hence its optimal size, is not intuitive. We demonstrate, in both natural and experimental systems, that male and female pheasants, Phasianus colchicus, in harems differentially adjusted their vigilance levels as harem size changed. Females became less vigilant as harems became larger, and benefited by increasing their foraging time. Conversely, males became more vigilant as harems became larger. We calculated the collective probability that a harem would detect a predator. Within natural harem sizes, a male and two females exhibited the highest probability of collective detection, with decreases as more females joined. This optimal harem size matched the average harem size observed at our study site. Females may join harems for benefits of collective vigilance. Despite both sexes having a shared interest in larger harems for mating benefits, optimal harem size is influenced by trade-offs in a nonsexual behaviour, vigilance. This results in males with relatively small harems, females associating with less preferred males and each male being surrounded by fewer females than he could mate with. (C) 2016 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"Hardie, SM; BuchananSmith, HM",Vigilance in single- and mixed-species groups of tamarins (Saguinus labiatus and Saguinus fuscicollis),INTERNATIONAL JOURNAL OF PRIMATOLOGY,18,217,234,10.1023/A:1026372619340,1997,"By forming larger sizes of groups individuals benefit from a decrease in vigilance, but the collective vigilance of the group as a whole is not compromised. We examined whether this group size effect is apparent in mixed-species groups of red-bellied tamarins (S. labiatus) and saddleback tamarins (S. fuscicollis) which form stable and permanent associations in the wild We studied general vigilance and responses to hidden threatening stimuli in five captive groups of each species, while they were housed in single- and mixed-species groups. For vigilance the individual rate was lower in the larger mixed-species groups than in the smaller single-species groups. In addition, the amount of time when at least one individual was vigilant was higher in mixed-species groups. This suggests that the tamarins alter their vigilance behavior in the presence of the other species. In response to hidden threats, both species performed brief vigilance checks and frequencies of checking did not differ in single- and mixed-species groups. However both species had a significant reduction in the mean duration per check and there was a reduced total amount of time spent vigilance checking in the mixed-species groups compared to the single-species groups, demonstrating the group size effect. Overall, the mixed-species groups had a higher number and mean duration of checking than the smaller single-species groups. Given that the two species share a common set of predators, and respond to each other's alarm calls, these findings provide strong evidence that individuals of both tamarin species may be able to benefit from forming mixed-species groups via improved vigilance and monitoring of threats."
"Lou, Yingqiang; Shi, Mei; Fang, Yun; Swenson, Jon E.; Lyu, Nan; Sun, Yuehua",Male vigilance and presence are important for foraging by female Chinese grouse in the pre-incubation period,WILDLIFE BIOLOGY,,,,10.2981/wlb.00257,2017,"In some monogamous birds, males invest more time in vigilance than females, especially during the pre-incubation period. As behaviors are time costly, there is a tradeoff between vigilance and feeding behavior. Male vigilance can be regarded as a male investment in their mates and may benefit the female by reducing the danger of predation, increasing her probability of survival, and allowing more time for her to forage to obtain more resources for egg production and incubation. In this study, we documented the proportion of time spent in vigilance and feeding by Chinese grouse Tetrastes sewerzowi with their mates and alone during the pre-incubation period, and then estimated male vigilance under more severe predation pressures through predator call playback. Our results indicated that paired male Chinese grouse spend more time in vigilance than unpaired males and paired females and could alter their activity budgets in response to the social context (i.e. with and without their mate) and an experimental encounter with an important predator. Male vigilance behavior and presence allowed females to spend more time foraging. We therefore conclude that vigilance behavior by their male partners by may play an important role in promoting the females' survival and probably the reproductive success. The proportion of time allocated for vigilance by males and foraging by females of Chinese grouse during the pre-incubation period was the highest recorded among monogamous grouse species, perhaps because the Chinese grouse is the smallest grouse species and has the highest relative reproductive investment."
"Gauthier-Clerc, M; Tamisier, A; Cezilly, F",Sleep-vigilance trade-off in green-winged teals (Anas crecca crecca),CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,76,2214,2218,10.1139/cjz-76-12-2214,1998,"We observed the effect of several variables on the sleep-vigilance trade-off in Green-winged Teals (A,Anas crecca crecca) during winter in the Camargue, southern France. We investigated the relationship between nock size and peeking mtp using field observations and controlling for the effects of other variables with which vigilance previously has been reported to be correlated: sex, date, time of day, distance from shore, and predator presence. Vigilance while sleeping decreased with increasing nock size for females but not for males. The pecking rate was reduced at the end of the winter, when Green-winged Teals were facing important energy requirements. Exposure to a predator resulted in maintenance of a high peeking rate. We discussed these results in relation to predator detection, mate competion, and wintering strategy."
"Busia, Laura; Schaffner, Colleen M.; Aureli, Filippo",Watch out! Insecure relationships affect vigilance in wild spider monkeys (Ateles geoffroyi),BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,73,,,10.1007/s00265-019-2773-x,2019,"Vigilance is used to monitor extra-group threats as well as risky group members. We examined whether relationship quality affects vigilance patterns of spider monkeys. We used focal animal sampling to collect data on social interactions and individual vigilance of all adults and subadults (N = 22) in a community of well-habituated Geoffroy's spider monkeys living in the protected area of Otoch Ma'ax Yetel Kooh, Yucatan, Mexico. Through a principal component analysis of seven indices of social interactions, we previously obtained three components of relationship quality, reflecting the levels of compatibility, value, and security. Such components could differentially affect vigilance depending on whether vigilance is directed to extra-group threats or risky group members. We tested whether an individual's vigilance was affected by (1) the mean level of compatibility, the mean level of value and the mean level of security across subgroup members; (2) the lowest level of compatibility, the lowest level of value, and the lowest level of security with any subgroup member; and (3) the mean level of compatibility, the mean level of value, and the mean level of security with neighbors (i.e., subgroup members within 5 m). We did not find evidence for any effect of compatibility and value; however, security did affect vigilance, as individuals were more vigilant when they had a less secure relationship with the subgroup member with the lowest level of security or with the average neighbor."
"Yiu, Sze Wing; Keith, Mark; Karczmarski, Leszek; Parrini, Francesca",Predation risk effects on intense and routine vigilance of Burchell's zebra and blue wildebeest,ANIMAL BEHAVIOUR,173,159,168,10.1016/j.anbehav.2021.01.008,2021,"Prey increase vigilance to maximize predator detection, but this comes at the expense of foraging depending on the vigilance type: (1) intense vigilance, when all feeding processes are ceased, and (2) routine vigilance, when animals continue chewing (i.e. lower foraging cost). Few studies have distinguished between vigilance types when examining the effects of predation risk and, in the absence of a commonly accepted conceptual framework, the variables used to define predation risk vary greatly between studies. We investigated the relative importance of four predation risk categories (risky place assessed at the landscape and habitat level, vegetation characteristics at foraging site level, prey characteristics and resource availability) for the time spent on intense and routine vigilance by Burchell's zebra, Equus quagga burchellii, and blue wildebeest, Connochaetes taurinus taurinus, under predation risk from reintroduced predators, lions, Panthera leo. The risk categories each represented a different predation risk component and included metrics that defined the component at multiple scales. Intense vigilance responses were scale dependent, with zebra responding to a risky place at the landscape level and wildebeest to vegetation characteristics at a foraging area scale. Yet both species were able to adjust and balance time spent on vigilance types. Prey characteristics reduced the intense vigilance of wildebeest as herd size increased. Both species maintained similar levels of intense vigilance between seasons, despite lower resource availability, and thus higher foraging costs, in the dry season. However, the reduction in grass quality probably resulted in the increase in routine vigilance by both species during the dry season, as more time was needed to chew grasses with high fibre content. Our findings suggest different underlying mechanisms for the two types of vigilance behaviour, which were influenced by the ecology of the species, and demonstrate the importance of distinguishing vigilance types in predation risk studies. (C) 2021 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"Fairbanks, B. M.; Dobson, F. S.",Kinship does not affect vigilance in Columbian ground squirrels (Urocitellus columbianus),CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,88,266,270,10.1139/Z10-001,2010,"Vigilance, a vital behaviour in prey species, is affected by many factors, including social group size and possibly the presence of relatives. Columbian ground squirrels (Urocitellus columbianus (Ord, 1815)) show a group-size effect of reduced individual vigilance in larger groups owing to increased predator detection. Such groups are composed of both kin and nonkin individuals. We observed vigilance (raising head above shoulders while foraging) of yearling males and yearling and older females, and examined kin relationships that are learned in the natal nest (viz., uterine kin). We then tested for possible effects of kinship on vigilance and thus on the group-size effect. Because of the kin-biased behaviours and nepotistic alarm calls shown by ground squirrels in previous studies, we expected either a kin-cooperative influence on vigilance or a nepotistic asymmetrical effect on vigilance,. We found that the presence of kin (whether above ground or not) had little or no effect on vigilance. This lack of kin effect reveals that Columbian ground squirrels do not rely any more on close relatives than on unrelated group members for detecting predators. Thus, the presence of kin does not contribute to the group-size effect on vigilance."
"Aviles, Jesus M.; Bednekoff, Peter A.","How do vigilance and feeding by common cranes Grus grus depend on age, habitat, and flock size?",JOURNAL OF AVIAN BIOLOGY,38,690,697,10.1111/j.2007.0908-8857.04002.x,2007,"Animals often spend less time vigilant and more time feeding when foraging in larger groups. This group-size effect does not, however, consider if larger groups differ systematically from smaller ones: Large groups could form in different habitats than small groups or be composed of a different mix of ages or classes than small groups. We examined how habitat differences and flock size and composition explain feeding and vigilance rates in common cranes Grus grus, wintering in holm oak Quercus ilex dehesas of Spain. Flock size and composition were related to habitat type in cranes: flocks formed in areas sown with cereal crops were larger than flocks formed in set aside areas. Vigilance rate depended on habitat but decreased with increasing flock size in a similar way across all habitats. Juveniles were less vigilant than adults and showed little change in vigilance with flock size. Vigilance increased and feeding time decreased over months from November through February. Our results show that vigilance is affected by habitat but that the group size effect on vigilance is not the product of differences between habitats in group size or composition."
"CAREY, HV; MOORE, P",FORAGING AND PREDATION RISK IN YELLOW-BELLIED MARMOTS,AMERICAN MIDLAND NATURALIST,116,267,275,10.2307/2425734,1986,
"Russock, Howard I.",Vigilance behavior of wintering bald eagles in Connecticut.,Connecticut Warbler,19,101,107,,1999,
"COLAGROSS, AML; COCKBURN, A","VIGILANCE AND GROUPING IN THE EASTERN GRAY KANGAROO, MACROPUS-GIGANTEUS",AUSTRALIAN JOURNAL OF ZOOLOGY,41,325,334,10.1071/ZO9930325,1993,"Group formation may help animals reduce their risk of predation and allow more time for activities other than vigilance against predators. Eastern grey kangaroos, Macropus giganteus, are gregarious and form open-membership groups. Vigilance behaviour of free-ranging kangaroos was observed in relation-to number of individuals within the group, sex and reproductive status of individuals, proximity to cover and position within the group. Our data support the view that kangaroos adjust their behaviour in relation to the risk of predation. Reproductive females, individuals on the periphery of the group and individuals in groups far from cover were most vigilant. Contrary to previous reports, vigilance behaviour was not influenced by group size except through the edge effect-the tendency of the proportion of individuals on the periphery of the group to decline as group size increases."
"Gould, L; Fedigan, LM; Rose, LM",Why be vigilant? The case of the alpha animal,INTERNATIONAL JOURNAL OF PRIMATOLOGY,18,401,414,10.1023/A:1026338501110,1997,"We compared patterns of vigilance behavior in a male- and a female-dominant species-white-faced capuchins and ring-tailed lemurs-and used the results to test four hypotheses to explain vigilance behavior in primates. Adult male white-faced capuchins spent significantly more time vigilant than females did, and much male vigilance appeared to be directed toward males from other social groups. This finding supports the protection of paternity hypothesis. No sex difference existed in vigilance behavior among the ring-railed lemurs, and subjects of both sexes exhibited more vigilance toward predators/potential predators than toward extragroup conspecifics, which supports the predator detection hypothesis. A trade-off argument, suggesting that females tolerate males in a group in return for greater male vigilance, does not apply to ring-tailed lemurs in our study. In both the male-dominant capuchins and the female-dominant ring-tailed lemurs, the alpha subject in the majority of the study groups was significantly more vigilant than other group members were. In white-faced capuchins, the alpha male mates more often than subordinate males do; therefore, the greater degree of vigilance exhibited by the alpha male may correspond to the protection of his reproductive investment. In ring-tailed lemurs, there can be more than one matriline in a group. Thus, the greater amount of vigilance behavior exhibited by the alpha female may be related to protection of her matriline, which could ultimately lead to greater inclusive fitness. Alpha subjects in our study groups exhibited certain behaviors more frequently or exclusively. Accordingly, there may be a constellation of behaviors characteristic of alpha animals."
"Ping, Xiaoge; Li, Chunwang; Jiang, Zhigang; Liu, Wuhua; Zhu, Huanbing",Interference competition and group size effect in sika deer (Cervus nippon) at salt licks,ACTA ETHOLOGICA,14,43,49,10.1007/s10211-011-0092-y,2011,"Competition has long been considered as a confounding factor of group size effect but the understanding of interference competition is rudimentary for the difficulty in disentangling interference competition from scramble competition adequately. Here, we analysed remote-camera video records of wild sika deer (Cervus nippon) at salt licks in southern China from March 1, 2006 to November 30, 2008 to investigate how interference competition and predation risk interacted on vigilance behaviour. Scramble competition is negligible at salt licks; therefore, we could focus our interest in interference competition. We used linear mixed model to compare vigilance, licking and aggression behaviours among females with and without fawn as well as males with different group sizes to identify the primary role of vigilance behaviour in sika deer. In total, 168 individuals were recorded and observation time was 2,733.04 min. We found that deer spent much time on vigilance and scanned frequently in spring and winter, and females with fawn spent more time on vigilance than females without fawn, suggesting vigilance for predation risk. Aggression ratio increased first and then decreased, while scan frequency continued to decline and then slightly increased when group size increased from two to seven, implying vigilance for interference competition. Our results suggested vigilance in sika deer was influenced by both predation risk and interference competition, but was mainly driven by predation risk even at sites with intense interference competition. Our results of interference competition shed some light on finding the underlying mechanism of group size effect in wild populations."
"Beauchamp, Guy",Visual obstruction and vigilance: a natural experiment,JOURNAL OF AVIAN BIOLOGY,46,476,481,10.1111/jav.00612,2015,"Visual obstructions can cause an increase in antipredator vigilance in prey animals by making predator detection more difficult. However, visual obstructions can also skew the perception of group size and inter-individual distances and impair the detection of alarm signals by conspecifics. These changes within the group alone can cause an increase in vigilance. To disentangle the contribution of these various factors to changes in vigilance, I documented vigilance in a gregarious species, the semipalmated sandpiper Calidris pusilla, foraging in a habitat where a naturally-occurring visual barrier partially prevented predator detection without altering the transfer of information about predation risk within the group. I used a matched sampling design to collect vigilance data for birds using adjacent areas with and without the visual barrier. In the visually-obstructed area, sandpipers maintained a higher level of vigilance, occurred farther away from cover and in smaller flocks, and preferentially scanned the area of danger with one eye in particular. All these changes suggest that visual obstruction increased perceived predation risk. I conclude that it is the inability to get a good view of any approaching predator, rather than changes in intra-group communication that caused the increase in vigilance in the visually-obstructed area."
"Arenz, CL; Leger, DW",Thirteen-lined ground squirrel (Sciuridae : Spermophilus tridecemlineatus) antipredator vigilance: Monitoring the sky for aerial predators,ETHOLOGY,105,807,816,10.1046/j.1439-0310.1999.00458.x,1999,"Despite the success of antipredator vigilance research, the specific focus of this vigilance has been difficult to determine. We have previously shown that thirteen-lined ground squirrels (Spermophilus tridecemlineatus) increase their vigilance when their lateral field of view is obstructed. In this paper, we describe an experiment in which we attempt to determine the predator class for which this vigilance is directed. Using six differentially occluded Plexiglas foraging boxes with hinged 'eaves', we were able to obstruct the squirrels' view of the sky while not obstructing their view of terrestrial threats. In general, across the box types, when their sky view was obstructed, ground squirrels increased their vigilance by increasing the percentage of time spent withdrawn from the boxes. This result suggests that a significant portion of ground squirrel antipredator vigilance is directed at the sky and is surveillance for aerial predators."
"Li, Chunlin; Zhou, Lizhi; Li, Hongkai; Jiang, Zhigang",Effects of foraging mode and group pattern on vigilance behavior in water birds: a case study of mallard and black-winged stilt,BELGIAN JOURNAL OF ZOOLOGY,141,45,54,,2011,"Vigilance behavior is affected by many factors including foraging mode and group pattern which we attempted to understand through a case study of mallard Anas platyrhynchos and black-winged stilt Himantopus himantopus in the Hengshui Lake National Nature Reserve, China. Mallard, a swimming bird, forages in irregular and loose circular groups in open water and its foraging mode (with its head underwater looking for food) does not allow for simultaneous monitoring of potential threats above the water surface, which is why its foraging is called blind period of foraging. In contrast, black-winged stilt is a wading bird and forages along riversides in long linear foraging groups. Its long beak, neck and legs enable it to scan around while foraging without any obviously blind period. We used the focal sampling method and measured vigilance behavior by the time spent vigilant, vigilance frequency, average duration of vigilance, alert distance and flee distance for the two species. We predicted higher levels of vigilance and longer alert and flee distance in mallard with long blind periods of foraging. Our results indicated significant differences (p<0.05) in vigilance behavior between the two species. The effects of group size and gender on vigilance were also checked but showed no significant differences. Higher-level vigilance in mallard was mainly due to its foraging mode with long 'blind periods' and circular foraging group pattern. We suggested that buffer zones be established in ecotourism regions in order to protect birds from human interference."
"Pays, Olivier; Goulard, Michel; Blomberg, Simon P.; Goldizen, Anne W.; Sirot, Etienne; Jarman, Peter J.","The effect of social facilitation on vigilance in the eastern gray kangaroo, Macropus giganteus",BEHAVIORAL ECOLOGY,20,469,477,10.1093/beheco/arp019,2009,"The relevance of vigilance activity to predator detection has been demonstrated in numerous studies. However, few studies have investigated the effect of one group member being vigilant on the probability of others being vigilant in group-forming prey species. Thus, we studied vigilance activity of eastern gray kangaroos Macropus giganteus that still experience occasional predation. We video recorded the behavior of all group members simultaneously and investigated the probability of a focal group member being vigilant (or nonvigilant) in relation to other individuals' vigilant and nonvigilant behaviors. Our results show that the decision of an individual to exhibit a vigilant posture depended on what it and other group members had been doing (scanning or foraging) at the preceding second and on group size. The probability of an individual being vigilant was positively affected by the proportion of companions that were vigilant at the previous second, confirming the existence in this species of a tendency for synchronization of individual vigilance. Group size affected individuals' vigilance in 3 ways. First, individuals were more likely to be vigilant if the proportion of their group mates that was vigilant was high, and this was strengthened with increasing group size. Second, the effect of the individual's own vigilance state (vigilant or not) at the previous second also increased with group size. Third, the probability of an individual being vigilant decreased with group size. These findings increase our understanding of the much-studied relationship between vigilance and group size."
"Boonratana, Ramesh","A short note on vigilance exhibited by proboscis monkey (Nasalis larvatus) in the Lower Kinabatangan, Sabah, Malaysia.",Tigerpaper (Bangkok),28,21,22,,2001,
"Hough, D; Wong, B; Bennett, G; Brettschneider, K; Spinocchia, M; Manion, N; Heinsohn, R",Vigilance and group size in Emus,EMU,98,324,327,10.1071/MU98045,1998,
"Guillemain, Matthieu; Fouque, Carol; Figuerola, Jordi",Consistent contrast between eyelid and iris brightness supports a role for vigilance signalling in ducks,IBIS,154,461,467,10.1111/j.1474-919X.2012.01240.x,2012,"Signalling self-ability to maintain vigilance may help in securing a mate, while providing accurate information about vigilance status may result in conspecifics adjusting their own scanning rate of the environment, potentially to the individual's benefit. In birds, vigilance is often associated with head-up postures adopted within a bout of head-down activity, and this can be used by conspecifics to assess the vigilance of their flock mates. However, vigilance behaviour is not always obvious and other cues may then be used to assess vigilance rates of conspecifics. Here we assess whether iris/eyelid/face patterns from 43 duck species are consistent with the hypothesis that eyelid brightness has evolved so as to contrast with iris brightness, which may then help in signalling individual vigilance status. Ducks generally flock when resting during the day, and because of their wide visual fields, individuals can monitor their environment while remaining in a resting head-down position. Ducks also show a wide variety of plumage and iris patterns, with both light-headed and dark-headed species. Matching our prediction, most ducks with dark irises had pale eyelids, irrespective of head colour. Furthermore, the smaller number of species with a pale iris generally have darker eyelids. A phylogenetic analysis shows a clear and significant association in the evolution of eyelid and iris brightness patterns in both males and females. These data therefore provide support for the hypothesis that eyelid brightness has evolved to act as a contrast with iris brightness. Further studies are now needed to examine the extent to which and the way this is used in vigilance information transfer between individuals."
"Beauchamp, Guy",The spatial distribution of foragers and food patches can influence antipredator vigilance,BEHAVIORAL ECOLOGY,28,304,311,10.1093/beheco/arw160,2017,"Antipredator vigilance is a major component of defenses against predators for many prey species. For group foragers, such vigilance is predicted by models to decrease with group size reflecting better predator detection ability and risk dilution in larger groups. Influential vigilance models for group foragers have made simplifying and often quite restrictive assumptions. Prey species, for instance, are expected to search for resources in groups of fixed sizes although frequent changes in group sizes often occur while foraging. Groups of prey in the same area are also assumed to be attacked independently, but predators could sequentially target several local groups after a failed attempt. I propose a framework in which prey animals can form groups by joining feeding neighbors and also adjust their vigilance in these groups of varying sizes. Predators can attack one of the many groups that occur in the same area and can also target groups of specific sizes. I used a genetic algorithm approach to simultaneously tackle joining and vigilance choices by prey individuals. I show that joining tendencies and the effect of group size on vigilance can vary with forager population size, the spatial distribution of resources, and predator attack tactics. The modeling framework adopted here generates several novel predictions about vigilance and joining tendencies for group foragers, and highlights the importance of considering the availability and vulnerability of prey groups in the same habitat when predicting antipredator vigilance."
"Tsunoda, Hiroshi",Human disturbances increase vigilance levels in sika deer (Cervus nippon): A preliminary observation by camera-trapping,RUSSIAN JOURNAL OF THERIOLOGY,20,59,69,10.15298/rusjtheriol.20.1.07,2021,"Man deer species exhibit typical vigilance behavior as an anti-predator response to human disturbances. However, vigilance behavior in sika deer (Cervus nippon) has not previously been assessed. I explored whether human disturbances increase vigilance in sika deer by comparing their behaviors in two areas with different levels of human activity using camera-trapping techniques. The deer spent a significantly higher proportion of time exhibiting vigilance behavior in the site with higher levels of human activity, supporting my initial hypothesis. In addition, their vigilance increased in winter, possibly due to hunting by humans."
"Gauthier-Clerc, M; Tamisier, A; Cezilly, F",Vigilance while sleeping in the breeding Pochard Aythya ferina according to sex and age,BIRD STUDY,49,300,303,10.1080/00063650209461279,2002,
"METCALFE, NB",THE EFFECTS OF MIXED-SPECIES FLOCKING ON THE VIGILANCE OF SHOREBIRDS - WHO DO THEY TRUST,ANIMAL BEHAVIOUR,32,986,993,10.1016/S0003-3472(84)80211-0,1984,
"WAITE, TA",DOMINANCE-SPECIFIC VIGILANCE IN THE TUFTED TITMOUSE - EFFECTS OF SOCIAL-CONTEXT,CONDOR,89,932,935,10.2307/1368549,1987,
"Pays, Olivier; Sirot, Etienne; Fritz, Herve",Collective Vigilance in the Greater Kudu: Towards a Better Understanding of Synchronization Patterns,ETHOLOGY,118,1,9,10.1111/j.1439-0310.2011.01974.x,2012,"Collective detection of predators is one of the main advantages of living in groups in prey species. However, the mechanisms linking individual and collective vigilance remain largely unknown. Here, we investigated individual and collective vigilance in a natural population of greater kudu (Tragelaphus strepsiceros), a gregarious ruminant living under high predation risk. Controlling for environmental, individual and group factors, we show that the proportion of time during which at least one individual was vigilant increased with group size, whereas individual investment in vigilance decreased. We also show that individuals tended to synchronize both vigilance and feeding activities. More generally, and whatever the considered group size, we demonstrate how the independent scanning assumption underestimated both the proportion of time during which no individual was vigilant and the proportion of time during which all individuals were simultaneously vigilant, but overestimated the proportion of time during which one vigilant individual only was present. Our results thus contrast with the point of view that the alternative to independent vigilance is coordinated vigilance and plead for a better description of the processes whereby reciprocal influences between individuals shape collective patterns of vigilance."
"Burton, N; Yasukawa, K",The predator early warning system of Red-Winged Blackbirds,JOURNAL OF FIELD ORNITHOLOGY,72,106,112,10.1648/0273-8570-72.1.106,2001,"Male Red-winged Blackbirds (Agelaius phoeniceus) are known to give alarm calls in response to the approach of a predator, and to encode information about the level of threat in their calling behavior. To determine whether such sentinel males alert females, we conducted a simple field experiment in which we measured the distances at which incubating females flushed from their nests in response to the approach of a human observer. Using a matched-pairs design, we measured flushing distances with a sentinel male present (mean 19.8 m), and when the same male was absent from his territory (mean 10.4 m). Female Red-winged Blackbirds flushed from their nests at significantly greater distances when males were present th;ln when males were absent. These results and those of other studies support the existence of a predator early warning system in the Red-winged Blackbird."
"Xia, Canjun; Xu, Wenxuan; Yang, Weikang; Blank, David; Qiao, Jianfang; Liu, Wei",Seasonal and sexual variation in vigilance behavior of goitered gazelle (Gazella subgutturosa) in western China,JOURNAL OF ETHOLOGY,29,443,451,10.1007/s10164-011-0279-8,2011,"Animals receive benefits from social behavior. As part of a group, individuals spend less time having to be vigilant. This phenomenon, called the group size effect, is considered the most dominant factor in an animal's demonstrated level of vigilance. However, in addition to group size, many other social and environmental factors also influence the degree of vigilance, including the season of the year and the sex of the individual. In our study, we examined the vigilant behavior of goitered gazelles in the Xinjiang Province in western China to test whether and how seasons, the yearly breeding cycle, and group size affect vigilance. According to our results, we found that seasonal factors were not a substantial influence on a gazelle's level of vigilance, while group size had a tangible effect. In comparison, the yearly breeding cycle (a natural phenomenon) was the most powerful factor: it significantly changed the degree of vigilance in females during birthing and males during rut. Anthropogenic factors (unnatural phenomena) were also potential causes of increased vigilance in both sexes during winter."
"Kotrschal, K.; Hemetsberger, J.; Dittami, J.",Vigilance in a flock of semi-tame greylag geese Anser anser in response to approaching eagles Haliaeetus albicilla and Aquila chrysaetos.,Wildfowl,43,215,219,,1992,
"LOUGHRY, WJ; MCDONOUGH, CM","CALLING AND VIGILANCE IN CALIFORNIA GROUND-SQUIRRELS - AGE, SEX AND SEASONAL DIFFERENCES IN RESPONSES TO CALLS",AMERICAN MIDLAND NATURALIST,121,312,321,10.2307/2426035,1989,
"ROBERTS, G",A REAL-TIME RESPONSE OF VIGILANCE BEHAVIOR TO CHANGES IN GROUP-SIZE,ANIMAL BEHAVIOUR,50,1371,1374,10.1016/0003-3472(95)80052-2,1995,"Sequences of vigilance behaviour were obtained for preening crested terns, Sterna bergii. Paired comparisons were made between the vigilance of individuals before and after flock size changes. As predicted, individuals responded to flock size increases by increasing their inter-scan intervals (reducing vigilance), and to flock size decreases by decreasing inter-scan intervals. Scan durations did not vary with flock size. However, arrivals and departures of birds were immediately followed by long scans. The study represents a more powerful test of flock size effects than has previously been presented in correlational studies. (C) 1995 The Association for the Study of Animal Behaviour"
