"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","YEAR","ABSTRACT"
"170","Alex 3","NO","Almeida, Luis Pedro; de Oliveira, Israel Efraim; Lyra, Rodrigo; Scaranto Dazzi, Rudimar Luis; Martins, Vinicius Gabriel; da Fontoura Klein, Antonio Henrique","Coastal Analyst System from Space Imagery Engine (CASSIE): Shoreline management module","ENVIRONMENTAL MODELLING & SOFTWARE","140",NA,NA,"10.1016/j.envsoft.2021.105033","2021","CASSIE is an open-source web tool for automatic shoreline mapping and analysis using satellite imagery (www. cassiengine.com). This tool was built in JavaScript, using Google Earth Engine (GEE) API, and can be applied to any coastal region on Earth where a boundary between water and land exists. CASSIE use the Landsat and Sentinel-2 satellite imagery, freely available from GEE, and implements an automatic shoreline detection using the normalized difference water index (NDWI) together with Otsu image segmentation algorithm. The satellitederived shorelines are analysed for a set of user-defined cross-shore transects along which several statistical analyses are performed. Comparisons of the CASSIE-derived shorelines and rate of changes with state-of-the art methods show that the products from this tool have sub-pixel accuracy. The new concept of big-data cloud-based computing and storage platform (GEE), together with a user-friendly interface and high level of automation makes of CASSIE a complete tool to support a wide variety of studies and applications where the knowledge of the shoreline behaviour is fundamental."
"171","Alex 3","NO","Moore, Sue E.; Haug, Tore; Vikingsson, Gisli A.; Stenson, Garry B.","Baleen whale ecology in arctic and subarctic seas in an era of rapid habitat alteration","PROGRESS IN OCEANOGRAPHY","176",NA,NA,"10.1016/j.pocean.2019.05.010","2019","Biophysical changes in marine ecosystems of the Arctic and subarctic sectors of the Atlantic and Pacific are now evident, driven primarily by sea ice loss, ocean warming and increases in primary productivity. As upper trophic species, baleen whales can serve as sentinels of ecosystem reorganization in response to these biophysical alterations, via changes in their ecology and physiological condition. This paper is the first to review baleen whale ecology in high-latitude marine ecosystems of both the north Atlantic and north Pacific. Oceanographically, these sectors offer four contrasting habitats to baleen whales: (i) a broad-deep-strait and deep-shelf inflow system in the Northeast Atlantic (NEA), (ii) a combination of inflow and outflow systems north of Iceland in the central North Atlantic (CNA), (iii) an outflow shelf and basin in the Northwest Atlantic (NWA), and (iv) a narrow-shallow-strait inflow shelf system in the Pacific sector. Information on baleen whale ecology from visual and passive acoustic surveys, combined with available telemetry and diet studies, show contrasting patterns of baleen whale occurrence among sectors. In brief, arctic and subarctic waters in the Atlantic sector support a far greater number of seasonally-migrant baleen whales than the Pacific sector. Thousands of humpback, fin and common minke whales occupy the diverse habitats of the Atlantic sector. These species all exhibit flexible diets, focused primarily on euphausiids (krill) and forage fishes (e.g., capelin, herring, sand lance), which are now responding to ecosystems altered by climate change. Conversely, the Pacific sector supports a far greater number of arctic-endemic bowhead whales than the Atlantic sector, as well as a large population of seasonally-migrant gray whales. Currently, differences in migratory timing and, to a lesser extent, foraging behaviors, serves to restrict prey competition between the arctic-endemic bowhead whale and seasonally migrant baleen whale species in both sectors. Regional aspects of changes in prey type and availability will likely impact future migratory timing, habitat selection, body condition and diet of baleen whales. Tracking variability in these attributes can provide valuable input to ecosystem models and thereby contribute the sentinel capability of baleen whales to forecasts of future states of high latitude marine ecosystems."
"172","Alex 3","NO","Haas, Sebastian; Schwab, Stefan; Geier, Martin","2-Undecanone: a new attractant for anthropophilic mosquitoes.","Mitteilungen der Deutschen Gesellschaft fuer Allgemeine und Angewandte Entomologie","15","127","130",NA,"2006","The attractiveness of 2-undecanone to host-seeking female Stegomyia aegpyti (former Aedes aegypti) and female Anopheles stephensi (Diptera: Culicidae) mosquitoes was tested in a Y-tube bioassay under laboratory conditions. 2-Undecanone alone in a concentration of 40 ppm was significantly more attractive to S. aegypti mosquitoes than pure air. In combination with other kairomones such as caproic acid, lactic acid and ammonia doses of 2-undecanone from 4 ppm up to 130 ppm augmented significantly the attractiveness of these kairomones. The synergism of 2-undecanone with other attractants is comparable to that one described for lactic acid. The combination of 2- undecanone with lactic acid, however, was more attractive than the two compounds as single stimuli. Interestingly 2-undecanone is neither known as an human skin compound nor as a volatile in human breath. First field experiments near Regensburg in Germany with BG-Sentinel[registered trademark] mosquito traps could not confirm the attractive effect of 2-undecanone (ROSE et al. 2006) for Culex species. A possible explanation could be that the tested dose of 2-undecanone was not in the optimum range or that the studied species do not respond to this compound."
"173","Alex 3","NO","Kempf, Michael; Glaser, Rudiger","Tracing Real-Time Transnational Hydrologic Sensitivity and Crop Irrigation in the Upper Rhine Area over the Exceptional Drought Episode 2018-2020 Using Open Source Sentinel-2 Data","WATER","12",NA,NA,"10.3390/w12123298","2020","Climate and regional land-use and landcover change (LUCC) impact the ecosystem of the Upper Rhine Area (URA) and transform large parts of the landscape into strongly irrigated agricultural cropland. The increase of long-term drought periods and the trend towards low summer precipitation totals trigger an increase in groundwater scarcity and amplify the negative effects of extensive irrigation purposes and freshwater consumption in a hydrologically sensitive region in Central Europe. This article presents qualitative transnational open source remote sensing temporal series of vegetation indices (NDVI) and groundwater level development to tracing near real-time vegetation change and socio-ecological feedbacks during periods of climate extremes in the Upper Rhine Area (2018-2020). Increased freshwater consumption caused a dramatic drop in groundwater availability, which eventually led to a strong degradation of the vegetation canopy and caused governmental regulations in July 2020. Assessing vegetation growth behavior and linking groundwater reactions in the URA through open source satellite data contributes to a rapidly accessible understanding of the ecosystem's feedbacks on the local to the transnational scale and further enables risk management and eco-political regulations in current and future decision-making processes."
"174","Alex 3","NO","Radman, Ali; Akhoondzadeh, Mehdi; Hosseiny, Benyamin","Integrating InSAR and deep-learning for modeling and predicting subsidence over the adjacent area of Lake Urmia, Iran","GISCIENCE & REMOTE SENSING","58","1413","1433","10.1080/15481603.2021.1991689","2021","InSAR processing is vastly used for land deformation monitoring from the space. Machine learning methods are known as strong tools for data modeling as well as predicting. In this study, we are going to model and predict the future behavior of land subsidence by InSAR processing and leveraging deep learning methods over the lands in the vicinity of Lake Urmia (located in the northwest of Iran). Accordingly, Sentinel-1 data over 56 months from November 2014 to June 2019 and small baseline subsets (SBAS) InSAR methods were utilized. Several regions with a high rate of subsidence were identified (maximum monthly subsidence of 13.3 mm). Furthermore, environmental factors affecting subsidence were considered. Therefore, parameters such as rainfall, groundwater, and lake area variations were measured using TRMM, GRACE, and MODIS satellite data, respectively. In order to determine and assess the relation between land deformations and environmental variations, several machine learning methods were implemented. The environmental parameters were used as the input of models and ground deformations as the target to be predicted. Eventually, ground deformations were estimated using multi-layer perceptron (MLP), convolutional neural network (CNN), and long short-term memory (LSTM) networks, in which each network had strengths and weaknesses on different occasions. Thus, by blending the forecast of the three models, a weighted ensemble was constructed, which outperformed the single models and reached the root mean square error (RMSE), mean absolute error (MAE), and standard deviation (SD) of 8.2 mm, 6.4 mm, and +/- 5.2 mm, respectively. The result indicated that although each single model had proper accuracy, an ensemble model can improve land deformation anticipation using the strength of networks in various conditions."
"175","Alex 3","NO","Wilkening, Jennifer L.; Ray, Chris","Characterizing predictors of survival in the American pika (Ochotona princeps)","JOURNAL OF MAMMALOGY","97","1366","1375","10.1093/jmammal/gyw097","2016","The measurement of stress hormone (glucocorticoid [GC]) concentration is increasingly used to assess the health of wildlife populations. However, for many species, we do not have a good understanding of the range of GC concentrations that might indicate a compromised individual. A temporary increase in GC concentration can prompt the adoption of behavior or activities to promote individual survival. However, chronic GC elevation results in deleterious effects on health that can reduce survival. In order to use GC concentration as a metric of individual fitness for a given species, it will be necessary to relate individual demographic rates to GC concentration. We related survival in American pikas (Ochotona princeps) to 2 different stress metrics, glucocorticoid metabolite (GCM) concentration in fecal samples and GC concentration in plasma samples. Annual survival was analyzed in relation to each of these stress metrics as well as other physiological metrics and habitat characteristics at several sites in the Rocky Mountains. Among the predictors considered, GCM concentration was by far the strongest predictor of annual survival in pikas, and individuals with higher baseline GCM were less likely to survive. Our metric of flea load was also negatively related to annual survival. Given the limited time and resources that characterize many wildlife conservation projects, it is important to establish which endocrine metrics are the most informative for a species. American pikas have been identified as a sentinel species for detecting effects of climate change, and several correlational studies have projected range contraction for the species. Our results suggest that more mechanistic projections might be possible given further study of the relationship between GCM and climate. Our approach contributes to a better understanding of factors affecting survival in this species and provides a basis for further research relating individual stress response and survival to environmental change."
"176","Alex 3","NO","Rideout, R.M.; Ings, D.W.; Healey, B.P.; Brattey, J.; Morgan, M.J.; Parsons, D. Maddock; Koen-Alonso, M.; Vigneau, J.","Assessing the status of the cod (Gadus morhua) stock in NAFO Subdivision 3Ps in 2015.","Canadian Science Advisory Secretariat Research Document","48","i","vi, 1-90",NA,"2016","The status of the cod stock in the Northwest Atlantic Fisheries Organization (NAFO) Subdivision 3Ps was assessed during a Fisheries and Oceans Canada (DFO) Regional Peer Review Process meeting held October 20-22, 2015. Stock status was updated based upon information collected up to spring 2015. Principal sources of information available for the assessment were: a time series of abundance and biomass indices from Canadian winter/spring research vessel (RV) bottom trawl surveys, inshore sentinel surveys, science logbooks from vessels < 35 ft., logbooks from vessels > 35 ft., reported landings from commercial fisheries, oceanographic data, and tagging studies. Total landings for the 2014-15 management year (April 1-March 31) were 7,166 t or just 54% of the Total Allowable Catch (TAC), and this marks the sixth consecutive season that the TAC has not been fully taken. The 2015-16 fishery was still in progress at the time of the meeting. The removals through recreational fishing are unknown since 2007, but based on previous estimates are thought to be a small fraction ([approximately] 1%) of the commercial landings. Estimates of abundance and biomass from the DFO RV spring survey have been relatively stable over the past seven years (except for a high value in 2013 apparently influenced by a year-effect), with abundance being slightly higher than it was in the early 2000s and biomass being generally lower than it was in the early 2000s. The 2015 survey was dominated by young fish which are not yet of commercial size. Sentinel gillnet catch rates have been very low and stable since 1999. Sentinel linetrawl catch rates have been below average for the past six years and the 2014 catch rate was the lowest in the time series. Gillnet catch rates from logbooks of vessels < 35 ft. have been generally stable since 1999 but increasing to slightly above average in 2014. Linetrawl catch-rates decreased over 2006-10, but subsequently increased and are presently at the time-series average. Estimates of Spawning Stock Biomass (SSB) derived from a survey-based (SURBA) cohort model increased considerably over 2009-12 but have since declined. The 2014 and 2015 estimates are approximately 1.4 times higher than the limit reference point (LRP), and the stock is currently in the 'cautious zone' according to DFO's Precautionary Approach (PA) Framework.. The probability of being below the LRP in 2015 is low ([approximately]0.05). Recruitment has improved over the last decade with most cohorts at or above the time-series (1983-2014) average. In particular, indications are that the 2011 and 2012 cohorts are strong. Estimated total mortality has generally been increasing since 1997 to near the time-series maximum. Over 2012-14, it averaged 0.65 (48% annual mortality), which is high especially considering that reported landings have been about half of the TACs over this time period. Projection of the stock to 2016 was conducted assuming mortality rates will be within [plus or minus]20% of current values (2012-14 average). Projection scenarios indicate that the 2016 SSB will increase from the 2015 estimate, with median 2016 relative SSB projections ranging from 1.7 to 2.1. In each of the scenarios, the probability of being below the LRP in 2016 is low (<= 0.05). Despite short-term projections for stock growth, there is reason for concern for 3Ps cod going forward. Although recruitment has recently been good, mortality is very high and hence the long-term contribution of these year classes to the fishery and spawning biomass is still uncertain. The spawning biomass is composed almost entirely of young fish, with the current age at maturity being the lowest recorded in the time series. Recent biological data suggest fish growth rates are low and that fish condition is poor. In recent years, cod in 3Ps have been feeding heavily on lipid-poor prey such as snow crab and other invertebrates. The combination of these biological data with the recent rise of warm-water species such as white hake is suggestive of broad changes in the 3Ps ecosystem and perhaps reduced cod productivity."
"177","Alex 3","NO","Pfeiffer, M; Linsenmair, KE","Territoriality in the Malaysian giants ant Camponotus gigas (Hymenoptera/Formicidae)","JOURNAL OF ETHOLOGY","19","75","85","10.1007/s101640170002","2001","In a 5-ha area of primary lowland rain forest in Borneo, we observed four polydomous colonies of the night-active giant ant Camponotus gigas. The nonoverlapping, three-dimensional territories in the canopy had a ground size up to 0.8 ha. C. gigas showed a distinct territorial behavior: (1) specific barrack nests, especially containing many majors, were situated at the borders and were established during long-term territorial conflicts; (2) trunk trails were regularly patrolled by majors that attacked alien conspecifics and some other ant species violently; and (3) sentinels, often involved in long-enduring conflicts with neighboring ant colonies, defended the borders at bridgeheads. Interspecific conflicts with sympatric Camponotus, species always led to violent, bloody fights of all castes. Intraspecific conflicts, however, were solved by ritual fights (front leg boxing) of majors. C gigas performed a de-escalation strategy to end short periods of true intraspecific ant war that we provoked experimentally. Artificially induced ritualized combats continued over weeks also in the absence of baits, indicating that borders may become established by long-term conflicts of attrition. We discuss the differences between ritual fights in desert and rainforest ants and apply Lanchester's theory of battles to our findings."
"178","Alex 3","NO","ESTRADA A; ESTRADA R","ESTABLISHMENT OF A FREE RANGING COLONY OF STUMP-TAILED MACAQUES MACACA-ARCTOIDES RELATIONS TO THE ECOLOGY PART 1","Primates","17","337","355","10.1007/BF02382790","1976","A group of 20 stumptail macaques was released free on the island of Totogochillo in lake Catemaco, Veracruz, Mexico, on Aug. 15, 1974. Initial adaptations to the island geography and ecology are reported for the first 83 days of observation. The island of Totogochillo is a lava formed island with vegetation type consisting of secondary tropical rain forest. The stumptail group composition consisted of 1 adult male, 5 adult female and 14 non adult individuals. Individuals and matrilineal genealogies are identifiable. Home range is limited by the island's size. The macaques only have 1 sleeping site. The use of resting areas seems to be related to variations in the travelling and foraging patterns of the stumptails. Five travelling routes were identified and changes in these are associated with changes in the availability and distribution of natural edibles. Feeding adaptations consist of consumption of vegetal matter such as leaves, seeds, roots, flowers and tree bark. Of 65 major plant species identified, the stumptails consume 28% (N:18). Sex differences in foods eaten were not observed but age differences do exist. The macaques prey on crickets, spiders, birds and water snails. Food pressure is suggested to induce the monkeys to locate new food resources. Predators on the island are not existent but avian predators are present in the area. The stumptails respond to their presence with alarm calls and an attack by a hawk on the group was witnessed. Sentinel behavior was performed by an adult female while protecting and scouting was carried out by the adult male. During the course of the study 4 deaths occurred, 2 infants were born and on Nov. 7th, 12 more stumptails were released on the island. Continuing research consists of studies of the ontogeny of social relations and of the sexual behavior in the stumptail group against a background of known social structural relations and kinship ties."
"179","Alex 3","NO","Garg, Vaibhav; Thakur, Praveen K. K.; Rajak, D. Ram; Aggarwal, S. P.; Kumar, Pradeep","Spatio-temporal changes in radar zones and ELA estimation of glaciers in NyAlesund using Sentinel-1 SAR","POLAR SCIENCE","31",NA,NA,"10.1016/j.polar.2021.100786","2022","A total of 15 glaciers in the Ny-Alesund region were studied for their glacier radar zones vis-a-vis ELA over the period 2016-2020, using the multi-seasonal SAR data. All the glaciers were comprised of three zones, namely middle percolation/wet snow, lower percolation/wet snow, and clean ice. Using the anomalies of temperature and precipitation derived from Ny Alesund meteorological station, it is observed that the ELA for most of the glaciers shifted to a higher altitude during 2016-2018 when the temperature was slightly high as compared to the long term mean, while it shifted down the glacier due to heavy accumulation and low temperature during 2019-20. The maximum shift of +/- 25 (with an uncertainty of +/- 6.85 m arising out of remote sensing data) in ELA, was detected during 2016-2020. These results obtained using geospatial technology-based analysis are provided for assessing the impact of climate change on the behaviour of the glaciers."
"180","Alex 3","NO","Seagraves, Michael P.; Yeargan, Kenneth V.","Importance of predation by Coleomegilla maculata larvae in the natural control of the corn earworm in sweet corn","BIOCONTROL SCIENCE AND TECHNOLOGY","19","1067","1079","10.1080/09583150903308715","2009","The corn earworm, Helicoverpa zea (Boddie) (Lepidoptera: Noctuidae) is a serious pest of many crops in North America, particularly sweet corn. The larvae of Coleomegilla maculata (DeGeer) (Coleoptera: Coccinellidae) are the most frequently observed predators of H. zea eggs in sweet corn. Companion cropping strategies have been developed to augment densities of C. maculata in sweet corn plantings. In this study, the importance of predation by C. maculata larvae was evaluated in experiments when larval abundance was manipulated using hand removal and physical exclusion. In 2003 and 2004, sentinel H. zea eggs were exposed on corn for 48 h. Egg mortality was 13.8% greater in the treatment where C. maculata larvae were present. In 2004 and 2005 eggs were exposed on corn under the same hand removal and physical exclusion techniques and monitored at 3-h intervals for 24 h to directly observe predation on sentinel eggs. Coleomegilla maculata larvae were the most frequently observed predators of the eggs, accounting for 45.9% of 85 total observed predation events in the control. Whereas in the treatment where C. maculata larvae were reduced, egg survival was 26.13% greater and only 37 total predation events were observed. All pest eggs were eliminated from individual ears 22.1% more often when C. maculata larvae were present at natural densities indicating that predation by this predator stage lessens crop damage by H. zea. The results of this study suggest that C. maculata larvae are an irreplaceable source of natural mortality for H. zea eggs on sweet corn."
"181","Alex 3","NO","Avetisyan, Daniela; Nedkov, Roumen; Velizarova, Emiliya; Borisova, Denitsa","SAR and optical data in land degradation processes estimation: a case study from Southeast Bulgaria","EARTH RESOURCES AND ENVIRONMENTAL REMOTE SENSING/GIS APPLICATIONS VIII","10428",NA,NA,"10.1117/12.2277945","2017","Soil is a dominant factor of the terrestrial geosystems in semi-arid and dry sub-humid zones, particularly through its effect on biomass production. Due to the climate changes and industrial development, soil resources in these zones are prone to degradation. On the other hand, degradation processes cause changes in land cover. Remote sensing optical data are widely used in the process of determining land cover change whereas SAR data is suitable for determination of soil moisture dynamics. In the present study, Tasseled Cap Transform (TCT) and modified Change Vector Analysis (mCVA) techniques are applied to Landsat and Sentinel 2 data in order to be determined magnitude and direction of land cover changes in the semi-natural areas of Haskovo Region, Southeast Bulgaria. The study of the vector direction presents some distinct changes in the soil characteristics for the whole territory and significant changes in vegetation characteristics and moisture content in part of the semi-mountainous territories of the examined region. It has been found that the magnitude of those changes increases up to 50% in some of the territories under investigation. SAR data has been used to evaluate the relative soil moisture content in various soil differences and to trace its dynamics during growing season. In order to achieve this aim, Relative Soil Moisture Index (RSMI) is used. The index estimates the relative variation of volumetric soil moisture content in a given time period and enables determination of its change in relative values. On the basis of integrated application of aforementioned techniques, a model providing key information about the impact of soil moisture change and dynamics upon processes related to land cover change. The suggested model is appropriate for estimation of ecosystem services and functions delivered by landscapes in semi-arid and dry sub-humid zones."
"182","Alex 3","NO","Leblond, A.; Lecollinet, S.","Clinical screening of horses and early warning for West Nile virus","EQUINE VETERINARY EDUCATION","29","325","327","10.1111/eve.12571","2017","Clinical presentation of West Nile disease in horses is variable, but ataxia, weakness and muscle fasciculations are often observed, sometimes with abnormal behaviour, teeth grinding and bruxism. Practitioners should be aware that horses are more sensitive to infection than man and serve as sentinels for an early warning of West Nile virus circulation in a given area. This early warning allows the implementation of preventive and control measures such as vaccination of horses and mosquito control."
"183","Alex 3","NO","Lambert, Timothy C.","The 4Vn Sentinel Survey:1994-2015.","Canadian Technical Report of Fisheries and Aquatic Sciences","3319","i","iv, 1-55",NA,"2019","Initiated after the 1993 declaration of a moratorium on cod fishing in NAFO statistical subdivision 4Vn (Sydney Bight), this survey is conducted annually in September by commercial longliners under the supervision of the Department of Fisheries and Oceans. The key product of this survey is an abundance index for 4Vn cod. Although cod are targeted, data on other groundfish bycatch are also collected. A subsample of cod are taken ashore for processing where they are weighed and measured, otoliths removed and organ weights recorded along with identification of stomach contents. Thus, in addition to age, length and weight data, information on condition and diet are provided. Also as well as the abundance survey conducted in September, other fishing operations included the monitoring of the outward winter migration of cod from the Gulf of St. Lawrence and a monthly monitoring of cod in Sydney Bight from April to December."
"184","Alex 3","NO","Postu, Paula; Popovici, Ovidiu Alin; Mitroiu, Mircea-Dan","TRICHOPRIA SOCIABILIS MASNER, 1965 ( HYMENOPTERA: DIAPRIIDAE) NEW TO ROMANIA, WITH NOTES ON ITS LIFE HISTORY.","Analele Stiintifice ale Universitatii Al. I. Cuza din Iasi Sectiunea Biologie Animala","59","53","60",NA,"2013","Numerous individuals of Trichopria sociabilis Masner, 1965 (Hymenoptera: Diapriidae) have been obtained from sentinel pupae of Calliphora vicina Robineau-Desvoidy (Diptera: Calliphoridae) placed in the Ciric area near Iasi city (eastern Romania). This is the first record of the parasitoid in Romania. Observations regarding parasitism percentage, sex ratio, courtship and copulation, oviposition, etc. are presented, accompanied by illustrations."
"185","Alex 3","NO","Dancau, Tina; Haye, Tim; Cappuccino, Naomi; Mason, Peter G.","Something old, something new: revisiting the diamondback moth (Lepidoptera: Plutellidae) life table after 65 years","CANADIAN ENTOMOLOGIST","152","70","88","10.4039/tce.2019.70","2020","Nearly 65 years ago, D.G. Harcourt developed the first of 74 life tables of the diamondback moth, Plutella xylostella (Linnaeus) (Lepidoptera: Plutellidae), on the Central Experimental Farm in Ottawa, Ontario, Canada and at nearby sites. This work is cited whenever authors discuss the life history of the diamondback moth and its parasitoids in Canada. Since Harcourt's study, climate change, urbanisation, and crop diversity may have altered the population dynamics of both the diamondback moth and its natural enemy community in the original study area. To follow up on Harcourt's work, we used two approaches to build life tables to describe mortality factors in the field and the natural enemies attacking diamondback moth in Ottawa: destructive sampling of mature cabbage, Brassica oleracea Linnaeus (Brassicaceae), plants similar to Harcourt's approach and a modern sentinel-based approach with an enemy exclusion cage treatment. After 65 years, the primary parasitoids attacking diamondback moth remained the same, although more parasitoid diversity was revealed by the destructive sampling technique. Total mortality and parasitism levels also remained similar. In one notable difference, we attributed more diamondback mortality to predation. Overall, however, diamondback moth population dynamics have changed little in Ottawa in the decades since Harcourt's studies."
"186","Alex 3","NO","Goley, PD","Behavioral aspects of sleep in Pacific white-sided dolphins (Lagenorhynchus obliquidens, Gill 1865)","MARINE MAMMAL SCIENCE","15","1054","1064","10.1111/j.1748-7692.1999.tb00877.x","1999","Dolphin sleep is unlike typical mammalian sleep in that slow wave sleep occurs in one hemisphere at a time and rapid eye movement (REM) sleep is apparently seduced or absent (Mukhametov 1987). Lilly (1964) observed that bottlenose dolphins (Tursiops truncatus) sleep with one eye open and one eye closed and suggested that the open eye monitored the immediate area for predators. Mukhametov (1987) and Supin et al. (1978) found no physiological correlation between the active brain hemisphere and the open eye, and suggested that no sentinel function exists. I describe the behavioral and social aspects of sleep in a captive school of four Pacific white-sided dolphins (La genorhynchus obliquidens) at Long Marine Lab at the University of California at Santa Cruz for 32 nights. As the animals swam in formation, I recorded their positions and eye condition. Dolphins did not close their eyes or switch positions in the school randomly. While in formation, dolphins switched positions in bouts while concurrently changing eye condition. This resulted in a sleeping formation in which the dolphins likely had the eye open towards schoolmates, not toward the external environment. I suggest that this allows sleep to proceed while allowing dolphins to maintain visual contact with group members."
"187","Alex 3","NO","Mendes, S.; Almeida, R.; Duarte, L.; Teodoro, A. C.","Remote sensing and GIS combination to evaluate the ecosystems' conditions in Serras do Porto","REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY XX","10783",NA,NA,"10.1117/12.2325117","2018","Forests are dynamic, complex and multidimensional ecosystems and play an irreplaceable role in social, economic, environmental, ecological and cultural context. Eucalyptus is the most common exotic species in Portugal forests. This species is fundamental in the industries related to the pulp paper production and the concern about their effects in ecosystems is growing. Geographical Information Systems (GIS) combined with Remote Sensing (RS) data can help to understand this complex ecosystem. Moreover, GIS and RS are commonly used in forest management. GIS allows the manipulation, analysis, and generation of considerable amounts of environmental information. This information can be used in the evaluation of ecosystems' conditions and for decision making. The study case of this project was the municipal lands included in Serras do Porto and Valongo's Nature 2000 network (Porto district, Portugal). The study zone considered in this work is a landscape of extreme relevance to Porto Metropolitan Area. For decades this area was extensively explored with eucalyptus plantations in order to produce cellulose for paper industry. Due to the characteristics of the area and its extension (40 hectares) the use of GIS became the most accurate and reliable alternative to characterize it. The combination of GIS tools and RS data allows the characterization of terrain relief, namely the analysis of altimetry, hypsometry, hydrography, the creation of environmental indexes such as Normalized Difference Vegetation Index (NDVI), Enhanced Vegetation Index (EVI) and Normalized Difference Water Index (NDWI), and the Digital Elevation Model (DEM). RS technology offer the potential to explore the effects of land-use changes and disturbances on forest dynamics at large spatial scales. A Sentinel-2A image was used to produce NDVI, EVI, and NDWI environmental indexes and to generate the Land Use Land Cover (LULC) map, through Semi-Automatic Classification Plugin from QGIS software using Minimum Distance algorithm. The LULC was classified with two classes because the study area only presents two types of species: eucalyptus and bare soil. The LULC map obtained was validated through field points collected in the study area with a GPS receptor. An overall accuracy of 92.98% and a kappa statistic of 0.842 was obtained. Also, some of the geographic information obtained in the field was then integrated in QGIS software. Moreover, a phenological study was performed using NDVI values obtained from Sentinel-2A images, to understand the eucalyptus behavior in a certain period of time.. Because of that RS data provided useful information about the landscape dynamics allowing the assess to forest cover change and land use helping to create decision making plans and forest conservation measures."
"188","Alex 3","NO","Wang, B; Ferro, DN","Functional responses of Trichogramma ostriniae (Hymenoptera : Trichogrammatidae) to Ostrinia nubilalis (Lepidoptera : Pyralidae) under laboratory and field conditions","ENVIRONMENTAL ENTOMOLOGY","27","752","758","10.1093/ee/27.3.752","1998","Laboratory tests and field experiments were conducted to determine the functional response of Trichogramma ostriniae Pang & Chen to its host, eggs of the European corn borer, Ostrinia nubilalis (Hubner), under different conditions. Individual female wasps were offered different densities of host eggs for 16 h at 17, 20, and 27 degrees C. Field experiments were carried out in a sweet corn field that was divided into 6 plots of equal size (120 m(2)). Sentinel European corn borer egg masses were exposed to wasps for 3 d, from day 0 to 3 and day 4 to 7 after releasing wasps. Both the laboratory study and field experiments indicated that egg parasitism was positively correlated with egg density. However, this relationship differed significantly for the 3 temperatures in the laboratory study and varied considerably for the different days of exposures (days 0-3 versus days 4-7) and for different replicates (time of the year). The Gompertz equation and a modified disc equation were fitted to the laboratory data categorized based on temperatures. The results showed that female T. ostriniae might exhibit the type II or type III functional response depending on temperature. The field data suggested a type II functional response when data were pooled for all replicates."
"189","Alex 3","NO","McAuliffe, K.; Thornton, A.","The psychology of cooperation in animals: an ecological approach","JOURNAL OF ZOOLOGY","295","23","35","10.1111/jzo.12204","2015","There has been a recent push to study the psychological processes supporting cooperation in nonhuman animals. However, progress has been limited thus far due to differences in approaches between psychologists and behavioral ecologists. Although the former tend to use controlled experiments to pinpoint precise cognitive mechanisms, these experiments often lack ecological validity. In contrast, behavioral ecologists seek to understand the adaptive function of cooperative behavior of animals in the wild but typically neglect the underlying psychological mechanisms. Here we appraise and integrate evidence from these two approaches to understand the potential cognitive solutions to four fundamental challenges that animals face during cooperative interactions under natural conditions: (1) when to cooperate; (2) with whom to cooperate; (3) what to do in cooperative interactions; (4) how much to contribute to cooperation. We argue that an ecologically motivated approach is critical to understanding the psychological mechanisms of cooperation and how these mechanisms evolve."
"190","Alex 3","NO","Huang, Yushi; Nigam, Abhimanyu; Campana, Olivia; Nugegoda, Dayanthi; Wlodkowic, Donald","Miniaturized video-microscopy system for near real-time water quality biomonitoring using microfluidic chip-based devices","SPIE BIOPHOTONICS AUSTRALASIA","10013",NA,NA,"10.1117/12.2242826","2016","Biomonitoring studies apply biological responses of sensitive biomonitor organisms to rapidly detect adverse environmental changes such as presence of physic-chemical stressors and toxins. Behavioral responses such as changes in swimming patterns of small aquatic invertebrates are emerging as sensitive endpoints to monitor aquatic pollution. Although behavioral responses do not deliver information on an exact type or the intensity of toxicants present in water samples, they could provide orders of magnitude higher sensitivity than lethal endpoints such as mortality. Despite the advantages of behavioral biotests performed on sentinel organisms, their wider application in real-time and near realtime biomonitoring of water quality is limited by the lack of dedicated and automated video-microscopy systems. Current behavioral analysis systems rely mostly on static test conditions and manual procedures that are time-consuming and labor intensive. Tracking and precise quantification of locomotory activities of multiple small aquatic organisms requires high-resolution optical data recording. This is often problematic due to small size of fast moving animals and limitations of culture vessels that are not specially designed for video data recording. In this work, we capitalized on recent advances in miniaturized CMOS cameras, high resolution optics and biomicrofluidic technologies to develop near real-time water quality sensing using locomotory activities of small marine invertebrates. We present proof-of-concept integration of high-resolution time-resolved video recording system and high-throughput miniaturized perfusion biomicrofluidic platform for optical tracking of nauplii of marine crustacean Artemia franciscana. Preliminary data demonstrate that Artemia sp. exhibits rapid alterations of swimming patterns in response to toxicant exposure. The combination of video-microscopy and biomicrofluidic platform facilitated straightforward recording of fast moving objects. We envisage that prospectively such system can be scaled up to perform high-throughput water quality sensing in a robotic biomonitoring facility."
