STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,SOURCE,VOLUME,LPAGE,UPAGE,DOI,YEAR,ABSTRACT,X
105,Alex Combined,YES,"Diniz, Pedro; Silva-Jr, Edvaldo F.; Macedo, Regina H.",Urban cycles of human activity do not significantly alter the behaviour of a duetting bird,IBIS,163,1394,1408,10.1111/ibi.12956,2021,"The weekend effect hypothesis predicts that weekly cycles of human activity impact animal behaviour and physiology. This hypothesis has been supported in the context of recreational activity in natural environments but it is unknown whether it also applies to urban animals. We tested this hypothesis by comparing the sentinel (territorial vigilance), foraging and vocal behaviours of an urban-dwelling bird, the Rufous Hornero Furnarius rufus, between weekdays and weekends (and holidays) within a university campus in central Brazil. The level of human activity (noise, traffic and pedestrian flow) increases greatly on weekdays on this campus. We predicted that the birds would perceive a greater predation risk and would need to adjust their acoustic signals in response to anthropogenic noise on weekdays. Thus, we expected that the birds would spend more time as sentinels and less time foraging, and would sing for longer periods and at a higher pitch on weekdays than on weekends. We also expected weaker duet responsiveness (answering partner-initiated song) on noisier weekdays than on weekends, assuming that noise would disrupt signal transmission between partners. We found that birds spent slightly more time (similar to 4%) in sentinel behaviour and less time (similar to 2-5%) foraging on weekdays than on weekends, but these effects were small and not statistically significant. Birds were equally likely to sing solos, start duets and answer partner-initiated duets on weekends and weekdays. Finally, phrase duration and acoustic parameters of duets were similar on weekends and weekdays. Our results provide little support for the weekend effect hypothesis, suggesting that these urban-dwelling birds may be habituated or indifferent to periodic variation in human activity levels.",NA
115,Alex Combined,YES,"Morris-Drake, Amy; Christensen, Charlotte; Kern, Julie M.; Radford, Andrew N.",Experimental field evidence that out-group threats influence within-group behavior,BEHAVIORAL ECOLOGY,30,1425,1435,10.1093/beheco/arz095,2019,"In social species, conspecific outsiders present various threats to groups and their members. These out-group threats are predicted to affect subsequent within-group interactions (e.g., affiliation and aggression) and individual behavior (e.g., foraging and vigilance decisions). However, experimental investigations of such consequences are rare, especially in natural conditions. We used field-based call playbacks and fecal presentations on habituated wild dwarf mongooses (Helogale parvula)-a cooperatively breeding, territorial species-to examine postinteraction responses to the simulated threat of a rival group. Dwarf mongooses invested more in grooming of groupmates, foraged closer together, and more regularly acted as sentinels (a raised guard) after encountering indicators of rival-group presence compared to control conditions. These behavioral changes likely arise from greater anxiety and, in the case of increased vigilance, the need to seek additional information about the threat. The influence of an out-group threat lasted at least 1 h but individuals of different dominance status and sex responded similarly, potentially because all group members suffer costs if a contest with rivals is lost. Our results provide field-based experimental evidence from wild animals that out-group threats can influence within-group behavior and decision making, and suggest the need for greater consideration of the lasting impacts of social conflict.",NA
148,Alex Combined,YES,"BOLWIG, NIELS","A study of the behaviour of the Chacma baboon, Papio ursinus",BEHAVIOUR,14,136,163,10.1163/156853959X00054,1959,"In this baboon there is a hierarchial organization of the troop which shows itself mainly in feeding and mating. Among the females a hierarchial order is less obivous than among the males. Females in oestrus seem to have a higher rank than those in anoestrus. The male-female association is often very casual and permanent family groups are rather the exception than the rule. Idle males act as sentinels. All sounds emitted evidently, express emotions; various sounds and their motivation are described. Various types of behavior are analyzed and their elements and significance listed. || ABSTRACT AUTHORS: From auth. summ",NA
160,Alex Combined,YES,"Yasukawa, Ken; Enstrom, David A.; Parker, Patricia G.; Jones, Thomas C.",Male Red-winged Blackbirds with experimentally dulled epaulets experience no disadvantage in sexual selection,JOURNAL OF FIELD ORNITHOLOGY,81,31,41,10.1111/j.1557-9263.2009.00258.x,2010,"The epaulets of male Red-winged Blackbirds (Agelaius phoeniceus) are frequently cited as a sexually selected plumage ornament, but a number of laboratory and field studies provide little evidence that they are currently experiencing sexual selection. We used hair dye to dull epaulets of free-living territorial males prior to pair formation to determine if manipulated males experienced disadvantages in comparison with control males. We found no differences between control males and males with dulled epaulets in territorial behavior (territory size, song rate, trespass rate, and loss of territory), paternal care (time spent on territory and in antipredator sentinel behavior, and response to a model crow to simulate the threat of predation), pairing success (number of social mates), apparent reproductive success (numbers of nesting attempts, eggs/nest, nestlings/egg, and fledglings/nestling), or realized reproductive success (numbers of within-pair, extra-pair, and total fledglings as determined by DNA fingerprinting). We then used a meta-analysis of 11 published studies of Red-winged Blackbirds to determine if there is an overall effect of epaulet color or size on male-male competition, female choice, or reproductive success. Our results show that epaulet size has a small positive effect on male reproductive success, but epaulet color has no effect on male-male competition, female choice, and male reproductive success. One explanation for the seeming contradiction between studies that show that epaulets are necessary for territory defense and those that conclude that epaulets are not currently under selection is that epaulets serve as one of several cues of species recognition, especially among males at close range. An alternative explanation proposes counter-balancing intersexual advantages and intrasexual disadvantages of epaulet expression. Additional studies are needed to test these alternatives.",NA
165,Alex Combined,YES,"Lott, DF; Mastrup, SNA",Facultative communal brood rearing in California Quail,CONDOR,101,678,681,10.2307/1370200,1999,"We examined communal brooding in California Quail Callipepla californica. Most broods are reared by their parents alone, but 23 of 195 (12%) broods combined and were reared communally by all their living parents. A 26% greater fledgling rate of communally reared chicks was not statistically significant. Parents of communal broods lived significantly longer (3.1 years) than parents of single broods (1.9 years) and hatched Significantly more young (36.3 vs. 15.7 young) during their lifetimes. Those that raised their first surviving brood communally were significantly (2.8 times) more likely to hatch a brood the following year. Communal brood fathers sentineled significantly less and ate significantly more. We do not know whether parents initiated brood merging, thereby increasing their direct fitness, or the young initiated brood merging, thereby increasing their inclusive fitness. Broods combined only when they were hatched from nearby nests. Communal brood rearing may be constrained by the absence of pre-hatch contact between the parents, or by the limited mobility of young chicks.",NA
168,Alex Combined,YES,"Kong, Dejun; Moller, Anders Pape; Zhang, Yanyun","Disturbance and predation risk influence vigilance synchrony of black-necked cranes Grus nigricollis, but not as strongly as expected",ECOLOGY AND EVOLUTION,11,2289,2298,10.1002/ece3.7196,2021,"Animals monitor surrounding dangers independently or cooperatively (synchronized and coordinated vigilance), with independent and synchronized scanning being prevalent. Coordinated vigilance, including unique sentinel behavior, is rare in nature, since it is time-consuming and limited in terms of benefits. No evidence showed animals adopt alternative vigilance strategies during antipredation scanning yet. Considering the nonindependent nature of both synchronization and coordination, we assessed whether group members could keep alert synchronously or in a coordinated fashion under different circumstance. We studied how human behavior and species-specific variables impacted individual and collective vigilance of globally threatened black-necked cranes (Grus nigricollis) and explored behavior-based wildlife management. We tested both predation risk (number of juveniles in group) and human disturbance (level and distance) effects on individual and collective antipredation vigilance of black-necked crane families. Adults spent significantly more time (proportion and duration) on scanning than juveniles, and parents with juveniles behaved more vigilant. Both adults and juveniles increased time allocation and duration on vigilance with observer proximity. Deviation between observed and expected collective vigilance varied with disturbance and predation risk from zero, but not significantly so, indicating that an independent vigilance strategy was adopted by black-necked crane couples. The birds showed synchronized vigilance in low disturbance areas, with fewer juveniles and far from observers; otherwise, they scanned in coordinated fashion. The collective vigilance, from synchronized to coordinated pattern, varied as a function of observer distance that helped us determine a safe distance of 403.75 m for the most vulnerable family groups with two juveniles. We argue that vigilance could constitute a prime indicator in behavior-based species conservation, and we suggesting a safe distance of at least 400 m should be considered in future tourist management.",NA
192,Alex Combined,YES,"van Schaik, Carel P.; Bshary, Redouan; Wagner, Gretchen; Cunha, Filipe",Male anti-predation services in primates as costly signalling? A comparative analysis and review,ETHOLOGY,128,1,14,10.1111/eth.13233,2022,"In species in which adults of the two sexes show long-term association, males often engage in acts of assistance (services) aimed at females and/or their young in various behavioural contexts that are not reciprocated. We conducted a quantitative review of the primate literature on sex differences in involvement in protection against predation. We found that males were more likely to be at the front of group progressions, especially in contexts of increased risk, were more vigilant, sometimes to the point of becoming sentinels, were more active in mobbing, and were far more likely to counter-attack felids and monkey-eating raptors than females did. Our evaluation showed that these services may be an expression of male parental care or aimed at bonded partners, but we also encountered many cases in which non-sires, unrelated to either females or immatures, provide them. We hence investigate explanations invoking group augmentation or costly signalling. Currently, available data on male anti-predation services in nonhuman primates do not allow us to distinguish among them, although costly signalling better explains data on birds and humans. We develop predictions that will allow more detailed tests of the various hypotheses for this understudied phenomenon.",NA
197,Alex Combined,YES,"Rafay, Muhammad; Ahmad, Ghafoor; Ruby, Tahira; Abdullah, Muhammad; Rasheed, Fahad; Abid, Muhammad; Akhtar, Sohail; Ahmad, Zulfiqar; Hussain, Riaz","Breeding and Feeding Behaviour of Jungle Babbler (Turdiodes striata Dumont, 1923) in Agro-Ecological Zones of District Layyah, Pakistan",PAKISTAN JOURNAL OF ZOOLOGY,52,1701,1708,10.17582/journal.pjz/20170420070416,2020,"The study was undertaken to find out breeding activities and feeding behavior of jungle babbler Turdoides striata from February to September, 2014. The cup shaped nests were made of dry grass and roots by a group of individuals of jungle babbler on Albizzia species having an average clutch size of 4 eggs. Average peripheral and core diameter, depth of nest was 13, 9 and 7 cm, respectively. Breeding completed in 36 days including incubation, nestling, post nestling and fledgling stages of 13, 5, 4, and 14 days, respectively. Overall predation during these stages was 57%. Adults consumed grains, insects, termites and flies during morning and evening frequently while providing insects, flies and larvae to their young ones. Highly sensitive video camera was arranged to check their ecological behavior and breeding calls. Sentinel, breeding, roosting and bathing behaviours were studied along with vocalization. Statistical packages (mean values and standard deviation) were used to find out the potential results.",NA
217,Alex Combined,YES,"Squires, Kelly A.; Martin, Kathy; Goudie, R. Ian",Vigilance behavior in the Harlequin Duck (Histrionicus histrionicus) during the preincubation period in labrador: Are males vigilant for self or social partner?,AUK,124,241,252,10.1642/0004-8038(2007)124[241:VBITHD]2.0.CO;2,2007,"Males of several avian species are more vigilant than their female partners, particularly during the preincubation period. Male vigilance may function as a deterrent of extrapair copulation attempts (EPCs) or to ensure male survival, because males of sexually dimorphic species may be more conspicuous to predators than females. However, vigilant males may act as antipredator sentinels to enhance female survivorship, which may also allow females to feed and rest more efficiently, thereby enhancing their ability to form clutches. We attempted to distinguish between the male benefits and female benefits hypotheses by studying the behavior of unpaired males and paired Harlequin Ducks (Histrionicus histrionicus) during the preincubation period. Paired males were, on average, four times more vigilant than unpaired males and their mates, which suggests that elevated levels of vigilance by paired males does not function primarily for self-protection against predators. Males were not more vigilant during the female's fertile period, contrary to the paternity assurance hypothesis. Male vigilance during feeding bouts was highest when pairs fed alone near shore-a condition in which feeding was likely more risky. Male vigilance was positively correlated with female feeding when females fed near shore, but not at other times. During resting bouts, males were vigilant 14 +/- 0.01% of the time in all conditions. We suggest that male vigilance may be important to enhance female survival, especially when females feed under risky conditions.",NA
232,Alex Combined,YES,"Malan, G; Jenkins, AR",Territory and nest defence in polyandrous pale chanting goshawks: do co-breeders help?,SOUTH AFRICAN JOURNAL OF ZOOLOGY,31,170,176,,1996,"The behaviour of polyandrous and monogamous pale chanting goshawks Melierax canorus was investigated to determine if co-breeders, by defending the territory and nest contents, helped to increase the fitness of polyandrous trios. Polyandrous trios consisted of a female and male breeder, as well as a subordinate co-breeding male. Pale chanting goshawk males performed most of the interspecific territorial maintenance duties, as well as participating in aggressive intraspecific interactions against other males on territory borders. Intraspecific territorial interactions were almost exclusively recorded in high-quality habitat, Karroid Broken Veld, and probably functioned in the defence of foraging habitat and potential mates. In this habitat, males of polyandrous families largely occupied exclusive sections of a territory. It is suggested that the cost of defending territories in Karroid Broken Veld was offset by the co-breeder's contribution to high-risk, intraspecific territorial defence. During the nestling period females of polyandrous trios stayed at nesting sites for longer periods than did monogamous females and all males, enabling these females to guard the nest and act as sentinels. Predation of nestlings was recorded at the nests of monogamous pairs, but not at those of polyandrous trios. Go-breeders did not guard the nesting site but contributed directly to nest defence by either coming to the female's aid when solicited, or attacking potential predators when present at the nesting site. Go-breeders may also have helped indirectly, through activities such as provisioning prey to females that relieved them of their hunting duties. We suggest that the female's nest guarding and the resulting lower nest predation may hold reproductive and fitness benefits for polyandrous breeders.",NA
272,Alex Combined,YES,"Wang, Thea B.; Nonacs, Peter; Blumstein, Daniel T.",Social skew as a measure of the costs and benefits of group living in marmots,REPRODUCTIVE SKEW IN VERTEBRATES: PROXIMATE AND ULTIMATE CAUSES,NA,114,133,10.1017/CBO9780511641954.007,2009,"In group-living animals reproduction is often skewed such that some group members reproduce more than others. In addition to reproductive skew, group members may also exhibit social skew, where some individuals show particular behaviors more often than others. Significant social skew in behaviors such as anti-predator defense or social interactions may influence survival and reproduction. Therefore, social skew has the potential to translate into reproductive skew and affect group productivity. We measured social skew across groups in a population of yellow-bellied marmots (Marmota flaviventris). Several behaviors such as agonistic interactions, affiliative interactions, and first emergence were significantly skewed in most groups. Alarm calling, however, was infrequently skewed more than would be expected by random chance. Thus, marmot groups do not appear to have behavioral roles in terms of individuals acting like sentinels. Although significant social skew was present, it did not obviously affect fitness as measured by female reproductive success for each group. However, skew in individual-directed behavior (e.g. agonistic and affiliative interactions) did significantly correlate with the level of reproductive skew. Finally, the results were independent of the scale at which groups were defined. Behavioral variability appears to occur similarly across the entire marmot population. The results of this study illustrate that the quantification of social skew has potential to be a powerful tool for understanding the evolution of sociality.",NA
273,Alex Combined,YES,"Houslay, Thomas M.; Nielsen, Johanna F.; Clutton-Brock, Tim H.",Contributions of genetic and nongenetic sources to variation in cooperative behavior in a cooperative mammal,EVOLUTION,75,3071,3086,10.1111/evo.14383,2021,"The evolution of cooperative behavior is a major area of research among evolutionary biologists and behavioral ecologists, yet there are few estimates of its heritability or its evolutionary potential, and long-term studies of identifiable individuals are required to disentangle genetic and nongenetic components of cooperative behavior. Here, we use long-term data on over 1800 individually recognizable wild meerkats (Suricata suricatta) collected over 30 years and a multigenerational genetic pedigree to partition phenotypic variation in three cooperative behaviors (babysitting, pup feeding, and sentinel behavior) into individual, additive genetic, and other sources, and to assess their repeatability and heritability. In addition to strong effects of sex, age, and dominance status, we found significant repeatability in individual contributions to all three types of cooperative behavior both within and across breeding seasons. Like most other studies of the heritability of social behavior, we found that the heritability of cooperative behavior was low. However, our analysis suggests that a substantial component of the repeatable individual differences in cooperative behavior that we observed was a consequence of additive genetic variation. Our results consequently indicate that cooperative behavior can respond to selection, and suggest scope for further exploration of the genetic basis of social behavior.",NA
288,Alex Combined,YES,"Hudson, Robyn; Rodel, Heiko G.; Elizalde, Marise T.; Kennedy, Gerard A.; Smith, Bradley P.",Diurnal pattern of pre-weaning den visits and nursing in breeding pairs of captive dingoes (Canis dingo),MAMMALIAN BIOLOGY,94,86,91,10.1016/j.mambio.2018.07.002,2019,"The period before pups are weaned represents a key developmental stage for canids that is directly related to the survivability of the pack. Yet our understanding of the role of the parents during this period when pups are confined to a den is rather limited. We sought further insight into this period by observing diurnal patterns of pre-weaning den visits and nursing behaviour in a captive population of dingoes (Canis dingo). We continuously video-monitored behaviour at dens of four captive, genetically pure, dingo pairs (one litter each) during the first three postpartum weeks just before the start of weaning. Mothers occupied the den almost continuously during the night, but significantly less so during the day, and consistently spent most den time nursing. Fathers were largely absent from inside the den despite lack of apparent aggression from females, low outside temperatures, and space for them inside. They spent a large percentage of time on top of the den, suggestive of sentinel duty, although further experiments are necessary to substantiate this. Although limited to captive animals, our observations are consistent with scant reports of bi-parental care in wild dingoes and with suggestions in the literature that reduced parental care in household and free-ranging domestic dogs might be, at least partly, due to the weakening of bi-parental care during their long history of close association with and dependence on humans. (C) 2018 Deutsche Gesellschaft fur Saugetierkunde. Published by Elsevier GmbH. All rights reserved.",NA
291,Alex Combined,YES,"Herzog, Sebastian K.; Soria A., Rodrigo; Troncoso J., Alejandra; Matthysen, Erik",Composition and structure of avian mixed-species flocks in a high-Andean Polylepis forest in Bolivia.,Ecotropica (Bonn),8,133,143,,2002,"We determined the composition and organization of avian mixed-species foraging flocks during the non-breeding season from April to August 2000 in a high-Andean forest fragment of Polylepis besseri (Rosaceae) (3710-3880 m a.s.l., 11 ha) in Cochabamba, Bolivia. Forest birds were color-banded monthly starting December 1999. Sixty-three observations of flocks were made containing a total of 10 species with a mean (+- SD) of 2.8 +- 0.9 species and 5.4 +- 1.8 individuals per flock. The entire Polylepis bird community contained 30 core species. Since the forest was small, most flocks contained at least some of the same individuals. Three species occurred in > 70% (Giant Conebill Oreomanes fraseri Tawny Tit-Spine-tail Leptasthenura yanacensis, and White-throated Tyrannulet Mecocerculus leucophrys, with 2.6 +- 0.6, 1.9 +- 0.6, and 1.6 +- 0.5 individuals per flock respectively), one species (Asthenes dorbignyi with 1.4 +- 0.5 individuals per flock) in 21%, and the remaining six species in pnd 5% of all flocks. All flock participants except one were insectivores. Individuals of O. fraseri showed high intraspecific group or pair fidelity and often, but not always, acted as flock leader, whereas the sentinel role was mainly assumed by L. yanacensis or A. dorbignyi. For the three species regularly associated with mixed-species flocks, home ranges of banded individuals observed in flocks were determined. Mean home ranges (100% minimum convex polygons) were 6.13 +- 0.87 ha for O. fraseri (n = 4), 2.13 +- 1.26 ha for L. yanacensis (n = 6), and 3.41 +- 2.73 ha for M. leucophrys (n = 3). Intraspecific home range overlap was moderate to high in all species, clear associations of Tawny Tit-Spinetail and White-throated Tyrannulet individuals with one of the two Giant Conebill pairs/groups were lacking, and agonistic interactions were almost absent except in August. In other words, neither individuals nor flocks were territorial, and flocks were much more loosely structured than those studied in Neotropical lowlands, resembling in some respects mixed-species flocks in northern temperate zones. Selective advantages of mixed flocks in Polylepis forests are briefly discussed, finding support only for the predation avoidance hypothesis.",NA
299,Alex Combined,YES,"Fleischer, AL; Bowman, R; Woolfenden, GE","Variation in foraging behavior, diet, and time of breeding of Florida scrub-jays in suburban and wildland habitats",CONDOR,105,515,527,10.1650/7224,2003,"Supplemental food enables some birds to lay eggs earlier, perhaps by allowing birds to increase their energy intake or allocate energy from other activities to reproduction. We examined the relationships between prelaying behavior, food handling and consumption rates, and the timing of breeding of female Florida Scrub-Jays (Aphelocoma coerulescens) in suburban and wildland habitats. Scrub-jays in suburban habitats had access to ad libitum human-provided foods; wildland jays did not. During both years of this study, suburban scrub-jays bred earlier than their wildland counterparts. Wildland scrub-jays bred earlier in 1997 than in 1996, but the timing of breeding by suburban scrub-jays did not vary between years. Suburban scrub-jays spent less time foraging and more time perching than wildland jays. They handled more food per hour and per foraging hour, suggesting their foraging was more efficient. Despite this, food consumption rates did not differ between the two habitats. Neither time spent foraging or perching nor food consumption rates significantly influenced variation in time of breeding among individuals. Time of breeding was significantly influenced by site, year, and rate of food handling. Individuals that handled more food items per foraging hour, that is, those individuals that were most efficient, were the earliest breeders in both habitats. These results suggest that foraging efficiency increases with access to human-provided food and that resource predictability may be a perceptual cue for the appropriate timing of breeding.",NA
324,Alex Combined,YES,"ARMITAGE, KENNETH B.",Social behaviour of a colony of the yellow-bellied marmot (Marmota flaviventris),ANIMAL BEHAVIOUR,10,319,331,10.1016/0003-3472(62)90055-6,1962,"The social behavior of a colony of yellow-bellied marmots was studied from June 18th to August 30th, 1955; July 12th to August 24th, 1956; June 10th to August 23rd, 1957; and June 14th to August 21st, 1961. The colony is located along a river terrace near the south entrance of Yellowstone National Park. The home-burrow is where the young are reared, where an animal normally spends the night, and where an animal goes when an alarm call is given. Auxiliary burrows are used temporarily as a place of refuge. The burrows are connected by a trail system that directs the movements of the animals. The distribution of adults and litters indicated a preference for burrows in the central part of the colony. Patterns of home range were of three types, those with no overlap, those with slight overlap and those with major overlap. Animals which utilized the same home range frequently avoided one another. The shape of the home range depended primarily on the nearness of the feeding area. Agonistic behavior modified both size and shape of home ranges. Changes in home range from year to year were correlated with changes in the individuals occupying home-burrows. The animals emerged from their burrows at about sunrise, had a morning peak of activity, a midday low and a second peak of activity in the late afternoon. All entered their burrows by 30 minutes after sunset. Communication between marmots involved the senses of sight, smell, touch, and, most importantly, hearing. The alarm call was given in response to any kind of intrusion into the life of the colony. No particular animal acted as a sentinel. Olfactory communication consisted of the greeting in which two animals sniffed each other's cheeks. One or two animals were dominant. Several tended to be submissive to all with which they had contact. Other relationships seem best characterized by a kind of neutrality in which each of the two animals avoids the other. Territorial behavior does not seem to occur in the yellow-bellied marmot. Hibernation began in the second week of August. Conflicts and alert calls were less numerous and activity in general greatly decreased. Increased wandering was shown by some adults. Agonistic behavior may be one of the factors that limits the number of marmots on a colony site. || ABSTRACT AUTHORS: Author",NA
8,Alex Combined,maybe,"Hing, Jing Sheng; Schmaltz, Gregory; Quinn, James S.",Testing for sentinel coordination in Smooth-billed Anis (Crotophaga ani),JOURNAL OF ORNITHOLOGY,160,165,172,10.1007/s10336-018-1584-6,2019,"Sentinel behaviour has been widely described, but whether or not it is coordinated among group members requires careful examination. The Smooth-billed Ani, Crotophaga ani, a joint-nesting cooperatively breeding bird, appears to have a sentinel system; however, it is unknown whether that vigilance is coordinated, the defining feature of sentinel behaviour. We followed social groups during two breeding seasons to observe and time their individual sentinel bouts. We then tested for coordination by quantifying the observed and expected proportions of time during which (1) no sentinel was present during observations, and (2) two or more sentinels were present. The majority of social groups spent less time than expected, under the coordination hypothesis, with at least one sentinel, indicating evidence against coordinated vigilance. This was significant for social groups observed in 2015, but not in 2002. Across both years, temporal overlap in sentinel behaviour between two individuals occurred significantly less than expected under the coordination hypothesis. This study contributes to a gap in our knowledge of sentinel behaviour and suggests that Smooth-billed Anis lack organized vigilance, possibly due to low within-group relatedness and group instability.",NA
15,Alex Combined,maybe,"Koenig, A.","Random scan, sentinels or sentinel system? A study in captive common marmosets (Callithrix jacchus).","Current primatology. Volume 2: social development, learning and behaviour.",NA,69,76,,1994,,NA
16,Alex Combined,maybe,"Blumstein, DT",Behavior - Selfish sentinels,SCIENCE,284,1633,1634,10.1126/science.284.5420.1633,1999,,NA
18,Alex Combined,maybe,"Rauber, Ramona; Manser, Marta B.",Effect of group size and experience on the ontogeny of sentinel calling behaviour in meerkats,ANIMAL BEHAVIOUR,171,129,138,10.1016/j.anbehav.2020.11.014,2021,"Increased vulnerability to predation results in young individuals of many species experiencing higher predation pressure than adults. Consequently, the production of antipredator-related calls by young can differ from that of the same vocalizations given by adults. Sentinel behaviour is a coordinated vigilance behaviour, where one individual climbs on an elevated position and scans the surroundings for predators, while the rest of the group is mainly foraging. Meerkat, Suricata suricatta, sentinels produce six distinct sentinel call types, which inform other group members about the perceived predation risk, resulting in the adjustment of personal vigilance behaviour in foraging group members. Here, we investigated the onset of sentinel behaviour and the ontogeny of the different sentinel call types as well as the development of individual vocal signatures in meerkats. We found that meerkats started acting as a sentinel around 200 days of age, but this was highly dependent on group size, with individuals from smaller groups exhibiting sentinel behaviour earlier than individuals from larger groups. All six sentinel call types were already present in the repertoire upon first emergence of the behaviour; however, call rates of 'all-clear' calls increased while 'warning' calls decreased with increasing experience as sentinel. Analysis of one of the most frequent sentinel calls, the double note calls, indicated that fundamental frequency, mean amplitude, duration and entropy differed consistently between individuals, but we found no effect of age. Rather, our results provide evidence that individual signatures in this call type were already developed when young meerkats first started to act as sentinel and changed little with age. To conclude, we showed little ontogenetic change in overall sentinel behaviour as well as in its vocal coordination, indicating potentially high selection pressures on antipredator behaviours, such as the sentinel system, resulting in consistent behavioural responses upon first emergence. (C) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
20,Alex Combined,maybe,"Bednekoff, Peter A.",Sentinel Behavior: A Review and Prospectus,"ADVANCES IN THE STUDY OF BEHAVIOR, VOL 47",47,115,145,10.1016/bs.asb.2015.02.001,2015,,NA
22,Alex Combined,maybe,"Baigrie, Bruce D.; Thompson, Alex M.; Flower, Tom P.",Interspecific signalling between mutualists: food-thieving drongos use a cooperative sentinel call to manipulate foraging partners,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,281,,,10.1098/rspb.2014.1232,2014,"Interspecific communication is common in nature, particularly between mutualists. However, whether signals evolved for communication with other species, or are in fact conspecific signals eavesdropped upon by partners, is often unclear. Fork-tailed drongos (Dicrurus adsimilis) associate with mixed-species groups and often produce true alarms at predators, whereupon associating species flee to cover, but also false alarms to steal associating species' food (kleptoparasitism). Despite such deception, associating species respond to drongo non-alarm calls by increasing their foraging and decreasing vigilance. Yet, whether these calls represent interspecific sentinel signals remains unknown. We show that drongos produced a specific sentinel call when foraging with a common associate, the sociable weaver (Philetairus socius), but not when alone. Weavers increased their foraging and decreased vigilance when naturally associating with drongos, and in response to sentinel call playback. Further, drongos sentinel-called more often when weavers were moving, and weavers approached sentinel calls, suggesting a recruitment function. Finally, drongos sentinel-called when weavers fled following false alarms, thereby reducing disruption to weaver foraging time. Results therefore provide evidence of an 'all clear' signal that mitigates the cost of inaccurate communication. Our results suggest that drongos enhance exploitation of a foraging mutualist through coevolution of interspecific sentinel signals.",NA
23,Alex Combined,maybe,"Munn, C.A.",The deceptive use of alarm calls by sentinel species in mixed species flocks of Neotropical birds.,Deception perspectives on human and nonhuman deceit.,NA,169,175,,1986,,NA
25,Alex Combined,maybe,"DAGOSTINO, GM; GIOVINAZZO, LE; EATON, SW",THE SENTINEL CROW AS AN EXTENSION OF PARENTAL CARE,WILSON BULLETIN,93,394,395,,1981,,NA
28,Alex Combined,maybe,"Huels, Florian D.; Stoeger, Angela S.",Sentinel behavior in captive meerkats (Suricata suricatta),ZOO BIOLOGY,41,10,19,10.1002/zoo.21644,2022,"The social and cooperative behavior of meerkats (Suricata suricatta), specifically their sentinel behavior, has been intensively studied in free-ranging populations. This study focuses on whether guarding in captive meerkats exhibits a pattern similar to that described for wild groups. Sentinel behavior in captivity has been somewhat neglected because predation is usually not a critical factor. Nonetheless, observations in captivity might reveal whether individual or group experience influences this specific behavior pattern. We observed three captive meerkat groups (in outdoor as well as indoor enclosures) and analyzed the duration of guarding sequences, the number of established guards, the guard posture, and the individual guard positions. We also conducted playback experiments to investigate the reaction of the sentinel and the group to bird calls (songbird vs. predatory bird species). The results demonstrated that captive groups behave much the same as wild groups. Certain individuals performed the guard job more often than other group members. Accordingly, the super sentinels observed in the wild also exist in captive groups. Playbacks showed that the sentinels reacted more strongly to the calls of predatory bird species, indicating that captive meerkats are able to categorize bird calls. We also documented major differences in behavioral responses to the calls of specific predatory bird species. Our observations underline that sentinel behavior is probably a combination of an innate, imprinted pattern that is further affected by the experience. Future studies might further investigate this influence of experience, beyond innate behavior, on the group-specific sentinel behavior pattern in captive meerkats.",NA
30,Alex Combined,maybe,"HORROCKS, JA; HUNTE, W",SENTINEL BEHAVIOR IN VERVET MONKEYS - WHO SEES WHOM 1ST,ANIMAL BEHAVIOUR,34,1566,1567,10.1016/S0003-3472(86)80226-3,1986,,NA
32,Alex Combined,maybe,"Mainwaring, Mark C.; Griffith, Simon C.",Looking after your partner: sentinel behaviour in a socially monogamous bird,PEERJ,1,,,10.7717/peerj.83,2013,"Natural selection favours those individuals with effective anti- predator defences. The presence of sentinels is known to be an effective form of defence amongst stable groups of individuals within cooperative and polygynous breeding systems. However, the presence of sentinels in the more prevalent socially monogamous breeding systems remains overlooked as an important benefit of such partnerships. Here, we describe a study in which we examined the presence and effectiveness of sentinels in a wild population of the socially monogamous zebra finch (Taeniopygia guttata). We found that when experimentally approached by a human observer during incubation, birds flushed from their nests at significantly greater distances when their reproductive partner was acting as a sentinel than when the partner was absent. The distance at which birds flushed was not influenced by the approach direction of the human observer, the gender of the incubating bird, the presence of conspecifics, the habitat type or the size of the breeding colony. Our results indicate that sentinels are an effective anti- predator defence amongst socially monogamous birds, and may represent a neglected benefit of the formation of stable social partnerships in birds. We suggest that whilst recent work has focused on the sexual conflicts that occur between males and females in socially monogamous pairs, we should not lose sight of the benefits that individuals may gain from their partner.",NA
37,Alex Combined,maybe,"Goodale, Eben; Beauchamp, Guy; Ruxton, Graeme D.",Leadership and Sentinel Behavior,"MIXED-SPECIES GROUPS OF ANIMALS: BEHAVIOR, COMMUNITY STRUCTURE, AND CONSERVATION",NA,125,145,10.1016/B978-0-12-805355-3.00007-5,2017,,NA
