Observation id,Observation date,Description,Media file,Total length,FPS,Location,Environment,Number of crows,Baited,Sentinel present,Code,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 2,Away from Bait,,,STATE,13.898,14.896,0.998,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Peck at Food/Bait,Foraging,,POINT,13.901,13.901,NA,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 1,Moving,Vigilance,Walking,STATE,13.905,14.645,0.740,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Head Up,Vigilance,,STATE,13.910,15.909,1.999,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Peck at Food/Bait,Foraging,,POINT,13.925,13.925,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Moving,Vigilance,Flying,STATE,14.149,15.646,1.497,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,14.149,15.147,0.998,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,14.149,15.147,0.998,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,14.149,15.147,0.998,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,14.149,15.147,0.998,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 1,Peck at Food/Bait,Foraging,,POINT,14.153,14.153,NA,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 2,Peck at Food/Bait,Foraging,,POINT,14.155,14.155,NA,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 2,Peck at Food/Bait,Foraging,,POINT,14.157,14.157,NA,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Head Down,Vigilance,,STATE,14.394,15.139,0.745,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,14.397,14.397,NA,,
043 - Ontario Bodyshop PLot - 2 crows - Baited,2022-09-28 08:05:00,Stopped because someone parked in front of me.,H:/Crow videos/NOT CODED vids/043.MOV,497.350,59.94,"43.177240, -79.266689",Arterial Commercial,2,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,14.398,14.398,NA,,
043 - Ontario Bodyshop PLot - 2 crows - Baited,2022-09-28 08:05:00,Stopped because someone parked in front of me.,H:/Crow videos/NOT CODED vids/043.MOV,497.350,59.94,"43.177240, -79.266689",Arterial Commercial,2,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,14.398,14.398,NA,,
043 - Ontario Bodyshop PLot - 2 crows - Baited,2022-09-28 08:05:00,Stopped because someone parked in front of me.,H:/Crow videos/NOT CODED vids/043.MOV,497.350,59.94,"43.177240, -79.266689",Arterial Commercial,2,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,14.398,14.398,NA,,
043 - Ontario Bodyshop PLot - 2 crows - Baited,2022-09-28 08:05:00,Stopped because someone parked in front of me.,H:/Crow videos/NOT CODED vids/043.MOV,497.350,59.94,"43.177240, -79.266689",Arterial Commercial,2,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,14.398,14.398,NA,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Head Up,Vigilance,,STATE,14.424,16.403,1.979,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 1,Head Up,Vigilance,,STATE,14.646,17.901,3.255,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Peck at Food/Bait,Foraging,,POINT,14.651,14.651,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 1,Moving,Vigilance,Flying,STATE,14.651,16.401,1.750,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Head Up,Vigilance,,STATE,14.901,15.400,0.499,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Head Up,Vigilance,,STATE,14.902,15.650,0.748,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Head Up,Vigilance,,STATE,14.910,20.402,5.492,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Head Up,Vigilance,,STATE,14.914,15.910,0.996,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Head Up,Vigilance,,STATE,15.140,16.398,1.258,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,15.141,15.141,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Heterospecific,POINT,15.152,15.152,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Heterospecific,POINT,15.152,15.152,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Heterospecific,POINT,15.152,15.152,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Heterospecific,POINT,15.152,15.152,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 3,Head Up,Vigilance,,STATE,15.152,18.651,3.499,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 2,Peck at Food/Bait,Foraging,,POINT,15.156,15.156,NA,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Head Up,Vigilance,,STATE,15.396,15.895,0.499,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 1,Moving,Vigilance,Walking,STATE,15.397,19.897,4.500,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Peck at Food/Bait,Foraging,,POINT,15.401,15.401,NA,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Head Down,Vigilance,,STATE,15.401,16.650,1.249,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Head Down,Vigilance,,STATE,15.646,20.149,4.503,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Head Down,Vigilance,,STATE,15.647,15.897,0.250,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Moving,Vigilance,Walking,STATE,15.651,16.155,0.504,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 2,Peck at Food/Bait,Foraging,,POINT,15.653,15.653,NA,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 2,Head Up,Vigilance,,STATE,15.654,16.155,0.501,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Head Down,Vigilance,,STATE,15.896,17.140,1.244,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 2,Away from Bait,,,STATE,15.897,16.897,1.000,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 2,Away from Bait,,,STATE,15.897,16.897,1.000,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 2,Away from Bait,,,STATE,15.897,16.897,1.000,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 2,Away from Bait,,,STATE,15.897,16.897,1.000,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Away from Bait,,,STATE,15.898,17.147,1.249,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Away from Bait,,,STATE,15.898,17.147,1.249,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Away from Bait,,,STATE,15.898,17.147,1.249,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Away from Bait,,,STATE,15.898,17.147,1.249,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Moving,Vigilance,Flying,STATE,15.898,20.146,4.248,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,15.898,19.398,3.500,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,15.898,19.398,3.500,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,15.898,19.398,3.500,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,Individual 4,Away from Bait,,,STATE,15.898,19.398,3.500,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Peck at Food/Bait,Foraging,,POINT,15.901,15.901,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,No focal subject,Disturbance,,Vehicle,POINT,15.909,15.909,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,No focal subject,Disturbance,,Vehicle,POINT,15.909,15.909,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,No focal subject,Disturbance,,Vehicle,POINT,15.909,15.909,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,No focal subject,Disturbance,,Vehicle,POINT,15.909,15.909,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Moving,Vigilance,Flying,STATE,15.910,17.147,1.237,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Head Down,Vigilance,,STATE,15.911,17.650,1.739,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,16.140,16.140,NA,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 2,Head Up,Vigilance,,STATE,16.142,20.391,4.249,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Peck at Food/Bait,Foraging,,POINT,16.147,16.147,NA,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Peck at Food/Bait,Foraging,,POINT,16.156,16.156,NA,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Head Down,Vigilance,,STATE,16.156,18.914,2.758,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 2,Moving,Vigilance,Walking,STATE,16.156,17.662,1.506,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Peck at Food/Bait,Foraging,,POINT,16.156,16.156,NA,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Head Down,Vigilance,,STATE,16.399,17.399,1.000,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Head Down,Vigilance,,STATE,16.403,16.404,0.001,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Head Up,Vigilance,,STATE,16.404,17.403,0.999,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 2,Peck at Food/Bait,Foraging,,POINT,16.412,16.412,NA,,
024 - FVM - 2 crows - No Bait,2022-07-07 06:13:00,,D:/Crow videos/024.MOV,191.890,59.94,"43.182620, -79.245815",Major Green Space,2, no,yes,024,Individual 1,Head Down,Vigilance,,STATE,16.421,18.420,1.999,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Peck at Food/Bait,Foraging,,POINT,16.646,16.646,NA,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Head Up,Vigilance,,STATE,16.651,18.416,1.765,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Peck at Food/Bait,Foraging,,POINT,16.900,16.900,NA,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Peck at Food/Bait,Foraging,,POINT,16.914,16.914,NA,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Peck at Food/Bait,Foraging,,POINT,16.917,16.917,NA,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Head Up,Vigilance,,STATE,17.141,17.896,0.755,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,17.160,17.160,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,17.160,17.160,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,17.160,17.160,NA,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Disturbance,,Vehicle,POINT,17.160,17.160,NA,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Peck at Food/Bait,Foraging,,POINT,17.397,17.397,NA,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Head Up,Vigilance,,STATE,17.400,17.910,0.510,,
020 - FVM - 2 crows - No Bait,2022-06-25 06:20:00,,D:/Crow videos/020.MOV,87.790,59.94,"43.182620, -79.245815",Major Green Space,2, no, no,020,Individual 2,Head Up,Vigilance,,STATE,17.402,17.903,0.501,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Head Down,Vigilance,,STATE,17.404,19.151,1.747,,
035 - Charles Ansell Park - 3 crows - No Bait,2022-08-24 08:25:00,,H:/Crow videos/NOT CODED vids/035.MOV,500.050,59.94,"43.214244, -79.213456",Major Green Space,3, no,yes,035,No focal subject,Disturbance,,Vehicle,POINT,17.409,17.409,NA,,
035 - Charles Ansell Park - 3 crows - No Bait,2022-08-24 08:25:00,,H:/Crow videos/NOT CODED vids/035.MOV,500.050,59.94,"43.214244, -79.213456",Major Green Space,3, no,yes,035,No focal subject,Disturbance,,Vehicle,POINT,17.409,17.409,NA,,
035 - Charles Ansell Park - 3 crows - No Bait,2022-08-24 08:25:00,,H:/Crow videos/NOT CODED vids/035.MOV,500.050,59.94,"43.214244, -79.213456",Major Green Space,3, no,yes,035,No focal subject,Disturbance,,Vehicle,POINT,17.409,17.409,NA,,
035 - Charles Ansell Park - 3 crows - No Bait,2022-08-24 08:25:00,,H:/Crow videos/NOT CODED vids/035.MOV,500.050,59.94,"43.214244, -79.213456",Major Green Space,3, no,yes,035,No focal subject,Disturbance,,Vehicle,POINT,17.409,17.409,NA,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,Individual 1,Peck at Food/Bait,Foraging,,POINT,17.417,17.417,NA,,
038-2 - Dairy Queen PLot - 7 crows - Baited,2022-09-01 07:40:00,,H:/Crow videos/NOT CODED vids/038-2.MOV,741.790,59.94,"43.177779, -79.239655",Community Commercial,7,yes,yes,038,Individual 2,Moving,Vigilance,Walking,STATE,17.418,22.157,4.739,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Head Up,Vigilance,,STATE,17.651,23.649,5.998,,
027 - FVM - 2 crows - Baited,2022-07-19 06:30:00,"Period of time when Individual 1 is perched, not foraging. (not coded)",D:/Crow videos/027.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes, no,027,Individual 1,Head Down,Vigilance,,STATE,17.654,22.152,4.498,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 2,Head Up,Vigilance,,STATE,17.663,18.165,0.502,,
